# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,IWRVVJHBKE,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -4.349999999999999645e+00, 0.000000000000000000e+00, 3.499999999999999778e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,33,29
# x,y,z,u,w
-2.333744492260070302e-01, 0.000000000000000000e+00, 3.557922367215745063e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
-3.060924867416309203e-01, 0.000000000000000000e+00, 3.548144149937637049e-01, 1.000000000000000000e+00, 4.834804258840433300e-02
-4.484609804120932575e-01, 0.000000000000000000e+00, 3.672543575852023068e-01, 1.000000000000000000e+00, 1.152427548245849448e-01
-6.576458365796471472e-01, 0.000000000000000000e+00, 3.640285229283820589e-01, 1.000000000000000000e+00, 2.132012242011686320e-01
-9.487729324774177853e-01, 0.000000000000000000e+00, 3.266775610947519337e-01, 1.000000000000000000e+00, 3.505981986784797444e-01
-1.328982558364062871e+00, 0.000000000000000000e+00, 2.500485460427661066e-01, 1.000000000000000000e+00, 5.321015015953263205e-01
-1.792554583159021497e+00, 0.000000000000000000e+00, 1.524821213989405178e-01, 1.000000000000000000e+00, 7.537827839575956812e-01
-2.313690190092971832e+00, 0.000000000000000000e+00, 8.144578213742020845e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.839325661938469914e+00, 0.000000000000000000e+00, 6.057542714969998271e-02, 1.000000000000000000e+00, 1.246217216042404097e+00
-3.312904479975613992e+00, 0.000000000000000000e+00, 7.059194099097831909e-02, 1.000000000000000000e+00, 1.467898498404673902e+00
-3.699647659526416277e+00, 0.000000000000000000e+00, 9.968757327260886758e-02, 1.000000000000000000e+00, 1.649401801321520367e+00
-3.990357641894572538e+00, 0.000000000000000000e+00, 1.404950493712083803e-01, 1.000000000000000000e+00, 1.786798775798831507e+00
-4.193019957894367877e+00, 0.000000000000000000e+00, 1.921085544232074560e-01, 1.000000000000000000e+00, 1.884757245175415097e+00
-4.315376511585244046e+00, 0.000000000000000000e+00, 2.638532644404089633e-01, 1.000000000000000000e+00, 1.951651957411595584e+00
-4.349999999999999645e+00, 0.000000000000000000e+00, 3.499999999999999778e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
-4.316146948260336735e+00, 0.000000000000000000e+00, 4.353122716868320086e-01, 1.000000000000000000e+00, 2.048348042588404194e+00
-4.195684274508531431e+00, 0.000000000000000000e+00, 5.069188534381642297e-01, 1.000000000000000000e+00, 2.115242754824584903e+00
-3.995416926647372247e+00, 0.000000000000000000e+00, 5.577053056639587059e-01, 1.000000000000000000e+00, 2.213201224201168493e+00
-3.708055367121597001e+00, 0.000000000000000000e+00, 5.970889994234563902e-01, 1.000000000000000000e+00, 2.350598198678479633e+00
-3.325917197909905809e+00, 0.000000000000000000e+00, 6.258697133672045387e-01, 1.000000000000000000e+00, 2.532101501595326098e+00
-2.858048689708811096e+00, 0.000000000000000000e+00, 6.396353594500606699e-01, 1.000000000000000000e+00, 2.753782783957595903e+00
-2.338199499308311502e+00, 0.000000000000000000e+00, 6.346978114017991501e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
-1.819155429832144177e+00, 0.000000000000000000e+00, 6.058999201990765693e-01, 1.000000000000000000e+00, 3.246217216042404097e+00
-1.353775518703504988e+00, 0.000000000000000000e+00, 5.558500356957009059e-01, 1.000000000000000000e+00, 3.467898498404673902e+00
-9.742784302107266869e-01, 0.000000000000000000e+00, 5.023313678382459457e-01, 1.000000000000000000e+00, 3.649401801321520367e+00
-6.879351470992769446e-01, 0.000000000000000000e+00, 4.556423445962234364e-01, 1.000000000000000000e+00, 3.786798775798831507e+00
-4.843542253249616403e-01, 0.000000000000000000e+00, 4.190214981024781293e-01, 1.000000000000000000e+00, 3.884757245175415097e+00
-3.457198652906546266e-01, 0.000000000000000000e+00, 3.919417404887796108e-01, 1.000000000000000000e+00, 3.951651957411595362e+00
-2.333744492260070302e-01, 0.000000000000000000e+00, 3.557922367215745063e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
2.226774241088849693e-01, 9.377365997104135653e-01, 3.556550308401329463e-01, 1.037037037037036979e+00, 0.000000000000000000e+00
1.514676125565480036e-01, 9.377457395778536764e-01, 3.547003716484038449e-01, 1.037037037037036979e+00, 4.834804258840433300e-02
1.205194690295463555e-02, 9.376294613003131051e-01, 3.668456382156420892e-01, 1.037037037037036979e+00, 1.152427548245849448e-01
-1.927942603959389434e-01, 9.376596137302593004e-01, 3.636962167837553550e-01, 1.037037037037036979e+00, 2.132012242011686320e-01
-4.778831646750890672e-01, 9.380087395782760185e-01, 3.272300205229797254e-01, 1.037037037037036979e+00, 3.505981986784797444e-01
-8.502069612840852386e-01, 9.387250041280842394e-01, 2.524161853504770514e-01, 1.037037037037036979e+00, 5.321015015953263205e-01
-1.304164158898111658e+00, 9.396369742372721046e-01, 1.571609036961108263e-01, 1.037037037037036979e+00, 7.537827839575956812e-01
-1.814491027317876259e+00, 9.403009630870138302e-01, 8.780726561053767143e-02, 1.037037037037036979e+00, 1.000000000000000000e+00
-2.329224430117689426e+00, 9.404960418755048401e-01, 6.743128535053226347e-02, 1.037037037037036979e+00, 1.246217216042404097e+00
-2.792980872669618808e+00, 9.404024158022443736e-01, 7.721052908759591660e-02, 1.037037037037036979e+00, 1.467898498404673902e+00
-3.171702712200108465e+00, 9.401304539357961954e-01, 1.056169471562729834e-01, 1.037037037037036979e+00, 1.649401801321520367e+00
-3.456383154193221507e+00, 9.397490194559618981e-01, 1.454577801432989648e-01, 1.037037037037036979e+00, 1.786798775798831507e+00
-3.654842103638946682e+00, 9.392665791696679367e-01, 1.958486700303186945e-01, 1.037037037037036979e+00, 1.884757245175415097e+00
-3.774660891771789650e+00, 9.385959690569481984e-01, 2.658938990611833253e-01, 1.037037037037036979e+00, 1.951651957411595584e+00
-3.808566263389795647e+00, 9.377907407407393148e-01, 3.499999999999999778e-01, 1.037037037037036979e+00, 2.000000000000000000e+00
-3.775415349019547229e+00, 9.369933123015058429e-01, 4.332914037566638066e-01, 1.037037037037036979e+00, 2.048348042588404194e+00
-3.657451160352964692e+00, 9.363239932973840274e-01, 5.032017764891877354e-01, 1.037037037037036979e+00, 2.115242754824584903e+00
-3.461337505632629430e+00, 9.358492836157417116e-01, 5.527852046885340931e-01, 1.037037037037036979e+00, 2.213201224201168493e+00
-3.179936037711833308e+00, 9.354811574736884294e-01, 5.912359817396092287e-01, 1.037037037037036979e+00, 2.350598198678479633e+00
-2.805723697194903554e+00, 9.352121392029706382e-01, 6.193349412221730299e-01, 1.037037037037036979e+00, 2.532101501595326098e+00
-2.347559128423164942e+00, 9.350834693474640025e-01, 6.327745081588893594e-01, 1.037037037037036979e+00, 2.753782783957595903e+00
-1.838491995305045812e+00, 9.351296214561338749e-01, 6.279539202185595581e-01, 1.037037037037036979e+00, 3.000000000000000000e+00
-1.330213284306902777e+00, 9.353988002856380435e-01, 5.998381903700872320e-01, 1.037037037037036979e+00, 3.246217216042404097e+00
-8.744856972609313939e-01, 9.358666251424166971e-01, 5.509738821560498101e-01, 1.037037037037036979e+00, 3.467898498404673902e+00
-5.028596594924479302e-01, 9.363668733122940679e-01, 4.987229587555174759e-01, 1.037037037037036979e+00, 3.649401801321520367e+00
-2.224553481788651976e-01, 9.368032836222890403e-01, 4.531399000821918488e-01, 1.037037037037036979e+00, 3.786798775798831507e+00
-2.309684552283203240e-02, 9.371455849569680918e-01, 4.173865242675357523e-01, 1.037037037037036979e+00, 3.884757245175415097e+00
1.126621351922449388e-01, 9.373987040970607199e-01, 3.909482290441383401e-01, 1.037037037037036979e+00, 3.951651957411595362e+00
2.226774241088849693e-01, 9.377365997104135653e-01, 3.556550308401329463e-01, 1.037037037037036979e+00, 4.000000000000000000e+00
6.787292974437769688e-01, 1.875473199420827131e+00, 3.555178249586914419e-01, 1.074074074074073959e+00, 0.000000000000000000e+00
6.090277118547269275e-01, 1.875491479155707353e+00, 3.545863283030439295e-01, 1.074074074074073959e+00, 4.834804258840433300e-02
4.725648742180025286e-01, 1.875258922600626210e+00, 3.664369188460818716e-01, 1.074074074074073959e+00, 1.152427548245849448e-01
2.720573157877691495e-01, 1.875319227460518601e+00, 3.633639106391286511e-01, 1.074074074074073959e+00, 2.132012242011686320e-01
-6.993396872760460070e-03, 1.876017479156552037e+00, 3.277824799512075171e-01, 1.074074074074073959e+00, 3.505981986784797444e-01
-3.714313642041076058e-01, 1.877450008256168479e+00, 2.547838246581879407e-01, 1.074074074074073959e+00, 5.321015015953263205e-01
-8.157737346372013754e-01, 1.879273948474544209e+00, 1.618396859932811904e-01, 1.074074074074073959e+00, 7.537827839575956812e-01
-1.315291864542780464e+00, 1.880601926174027660e+00, 9.416874908365513441e-02, 1.074074074074073959e+00, 1.000000000000000000e+00
-1.819123198296909827e+00, 1.880992083751009680e+00, 7.428714355136453729e-02, 1.074074074074073959e+00, 1.246217216042404097e+00
-2.273057265363624069e+00, 1.880804831604488747e+00, 8.382911718421351410e-02, 1.074074074074073959e+00, 1.467898498404673902e+00
-2.643757764873800653e+00, 1.880260907871592391e+00, 1.115463210399371130e-01, 1.074074074074073959e+00, 1.649401801321520367e+00
-2.922408666491870477e+00, 1.879498038911923796e+00, 1.504205109153895770e-01, 1.074074074074073959e+00, 1.786798775798831507e+00
-3.116664249383525931e+00, 1.878533158339335873e+00, 1.995887856374299607e-01, 1.074074074074073959e+00, 1.884757245175415097e+00
-3.233945271958336143e+00, 1.877191938113896397e+00, 2.679345336819576873e-01, 1.074074074074073959e+00, 1.951651957411595584e+00
-3.267132526779590762e+00, 1.875581481481478630e+00, 3.499999999999999778e-01, 1.074074074074073959e+00, 2.000000000000000000e+00
-3.234683749778758166e+00, 1.873986624603011686e+00, 4.312705358264956601e-01, 1.074074074074073959e+00, 2.048348042588404194e+00
-3.119218046197398397e+00, 1.872647986594768055e+00, 4.994846995402111300e-01, 1.074074074074073959e+00, 2.115242754824584903e+00
-2.927258084617887501e+00, 1.871698567231483423e+00, 5.478651037131093693e-01, 1.074074074074073959e+00, 2.213201224201168493e+00
-2.651816708302070502e+00, 1.870962314947376859e+00, 5.853829640557618452e-01, 1.074074074074073959e+00, 2.350598198678479633e+00
-2.285530196479900855e+00, 1.870424278405941276e+00, 6.128001690771414101e-01, 1.074074074074073959e+00, 2.532101501595326098e+00
-1.837069567137518344e+00, 1.870166938694928005e+00, 6.259136568677179380e-01, 1.074074074074073959e+00, 2.753782783957595903e+00
