# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
5

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,IWRVVJHBKE,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,28,33
# x,y,z,u,w
3.874530802052276623e+00, 0.000000000000000000e+00, 2.473206232091315279e-02, 1.000000000000000000e+00, 0.000000000000000000e+00
3.897672796403200302e+00, 0.000000000000000000e+00, 1.255260933881866860e-02, 1.000000000000000000e+00, 4.173311976788848798e-02
3.788982800929640238e+00, 0.000000000000000000e+00, 2.465682509224260965e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
3.635070869421549666e+00, 0.000000000000000000e+00, 2.890724109954763421e-02, 1.000000000000000000e+00, 1.722603643809274832e-01
3.424640020677945262e+00, 0.000000000000000000e+00, 2.228505731746770885e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
3.149040840492569160e+00, 0.000000000000000000e+00, 1.136963217483682922e-03, 1.000000000000000000e+00, 4.134663504172014781e-01
2.806530383241108151e+00, 0.000000000000000000e+00, -3.650968362351918184e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
2.406811526195200113e+00, 0.000000000000000000e+00, -8.566909954640777869e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
1.972866154524262283e+00, 0.000000000000000000e+00, -1.346989497303026917e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
1.537536037096696617e+00, 0.000000000000000000e+00, -1.690243684492395704e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
1.134969298442024321e+00, 0.000000000000000000e+00, -1.787926485929176024e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
7.905439397218192443e-01, 0.000000000000000000e+00, -1.693464316067949393e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
5.148856685033178504e-01, 0.000000000000000000e+00, -1.488696532081780211e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
3.061379835361452972e-01, 0.000000000000000000e+00, -1.220006048707289459e-01, 1.000000000000000000e+00, 1.827739635619072489e+00
1.551964191639416402e-01, 0.000000000000000000e+00, -9.112809901048261885e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
5.251319599979938080e-02, 0.000000000000000000e+00, -5.384804984125713540e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
2.048368988568664839e-02, 0.000000000000000000e+00, 6.998519575257654279e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
1.022124948644618919e-01, 0.000000000000000000e+00, 1.385473477053893177e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
2.359299819616724747e-01, 0.000000000000000000e+00, 2.080424939083953262e-01, 1.000000000000000000e+00, 2.172260364380927289e+00
4.293934437089901301e-01, 0.000000000000000000e+00, 2.783291001407609544e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
6.916769801802602480e-01, 0.000000000000000000e+00, 3.439578422512176714e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.024619091453994990e+00, 0.000000000000000000e+00, 3.960237400740733715e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.417638022965850286e+00, 0.000000000000000000e+00, 4.214023286377232003e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
1.844515600573343850e+00, 0.000000000000000000e+00, 4.085382792237126082e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.269106012738297817e+00, 0.000000000000000000e+00, 3.620861488851009335e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
2.657668229926973158e+00, 0.000000000000000000e+00, 2.973584536249231913e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
2.987936408453368831e+00, 0.000000000000000000e+00, 2.300710252417581259e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
3.251830332544396462e+00, 0.000000000000000000e+00, 1.711806089840896272e-01, 1.000000000000000000e+00, 3.723464124463156111e+00
3.452465714031537125e+00, 0.000000000000000000e+00, 1.248976518782886347e-01, 1.000000000000000000e+00, 3.827739635619072267e+00
3.599189197188920719e+00, 0.000000000000000000e+00, 9.062745433499441727e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
3.703469432632475744e+00, 0.000000000000000000e+00, 6.634880971177402331e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
3.874530802052276623e+00, 0.000000000000000000e+00, 2.473206232091315279e-02, 1.000000000000000000e+00, 4.000000000000000000e+00
4.862980504311400942e+00, 1.285714285714285143e+00, 2.415754254294035647e-02, 1.071428571428571397e+00, 0.000000000000000000e+00
