# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,IWRVVJHBKE,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -4.299999999999999822e+00, 0.000000000000000000e+00, 4.347826086956523284e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,33,29
# x,y,z,u,w
-1.833744492260072079e-01, 0.000000000000000000e+00, 4.405748454172268569e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
-2.560924867416310979e-01, 0.000000000000000000e+00, 4.395970236894161109e-01, 1.000000000000000000e+00, 4.834804258840433300e-02
-3.984609804120933796e-01, 0.000000000000000000e+00, 4.520369662808546019e-01, 1.000000000000000000e+00, 1.152427548245849448e-01
-6.076458365796473249e-01, 0.000000000000000000e+00, 4.488111316240344650e-01, 1.000000000000000000e+00, 2.132012242011686320e-01
-8.987729324774178519e-01, 0.000000000000000000e+00, 4.114601697904042843e-01, 1.000000000000000000e+00, 3.505981986784797444e-01
-1.278982558364063049e+00, 0.000000000000000000e+00, 3.348311547384184017e-01, 1.000000000000000000e+00, 5.321015015953263205e-01
-1.742554583159021897e+00, 0.000000000000000000e+00, 2.372647300945928406e-01, 1.000000000000000000e+00, 7.537827839575956812e-01
-2.263690190092972010e+00, 0.000000000000000000e+00, 1.662283908330725590e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.789325661938470091e+00, 0.000000000000000000e+00, 1.453580358453523402e-01, 1.000000000000000000e+00, 1.246217216042404097e+00
-3.262904479975614169e+00, 0.000000000000000000e+00, 1.553745496866306697e-01, 1.000000000000000000e+00, 1.467898498404673902e+00
-3.649647659526416899e+00, 0.000000000000000000e+00, 1.844701819682612320e-01, 1.000000000000000000e+00, 1.649401801321520367e+00
-3.940357641894572716e+00, 0.000000000000000000e+00, 2.252776580668607864e-01, 1.000000000000000000e+00, 1.786798775798831507e+00
-4.143019957894368943e+00, 0.000000000000000000e+00, 2.768911631188598066e-01, 1.000000000000000000e+00, 1.884757245175415097e+00
-4.265376511585244224e+00, 0.000000000000000000e+00, 3.486358731360613139e-01, 1.000000000000000000e+00, 1.951651957411595584e+00
-4.299999999999999822e+00, 0.000000000000000000e+00, 4.347826086956523284e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
-4.266146948260337801e+00, 0.000000000000000000e+00, 5.200948803824843036e-01, 1.000000000000000000e+00, 2.048348042588404194e+00
-4.145684274508530720e+00, 0.000000000000000000e+00, 5.917014621338165803e-01, 1.000000000000000000e+00, 2.115242754824584903e+00
-3.945416926647372868e+00, 0.000000000000000000e+00, 6.424879143596110564e-01, 1.000000000000000000e+00, 2.213201224201168493e+00
-3.658055367121597179e+00, 0.000000000000000000e+00, 6.818716081191087408e-01, 1.000000000000000000e+00, 2.350598198678479633e+00
-3.275917197909906875e+00, 0.000000000000000000e+00, 7.106523220628568893e-01, 1.000000000000000000e+00, 2.532101501595326098e+00
-2.808048689708811718e+00, 0.000000000000000000e+00, 7.244179681457130204e-01, 1.000000000000000000e+00, 2.753782783957595903e+00
-2.288199499308311680e+00, 0.000000000000000000e+00, 7.194804200974516117e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
-1.769155429832144133e+00, 0.000000000000000000e+00, 6.906825288947289199e-01, 1.000000000000000000e+00, 3.246217216042404097e+00
-1.303775518703505609e+00, 0.000000000000000000e+00, 6.406326443913533675e-01, 1.000000000000000000e+00, 3.467898498404673902e+00
-9.242784302107269756e-01, 0.000000000000000000e+00, 5.871139765338981853e-01, 1.000000000000000000e+00, 3.649401801321520367e+00
-6.379351470992773443e-01, 0.000000000000000000e+00, 5.404249532918756760e-01, 1.000000000000000000e+00, 3.786798775798831507e+00
-4.343542253249618734e-01, 0.000000000000000000e+00, 5.038041067981304799e-01, 1.000000000000000000e+00, 3.884757245175415097e+00
-2.957198652906547487e-01, 0.000000000000000000e+00, 4.767243491844319614e-01, 1.000000000000000000e+00, 3.951651957411595362e+00
-1.833744492260072079e-01, 0.000000000000000000e+00, 4.405748454172268569e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
2.726774241088847361e-01, 9.377365997104135653e-01, 4.404376395357852969e-01, 1.037037037037036979e+00, 0.000000000000000000e+00
2.014676125565477427e-01, 9.377457395778536764e-01, 4.394829803440561955e-01, 1.037037037037036979e+00, 4.834804258840433300e-02
6.205194690295451343e-02, 9.376294613003131051e-01, 4.516282469112944398e-01, 1.037037037037036979e+00, 1.152427548245849448e-01
-1.427942603959391210e-01, 9.376596137302593004e-01, 4.484788254794077611e-01, 1.037037037037036979e+00, 2.132012242011686320e-01
-4.278831646750892448e-01, 9.380087395782760185e-01, 4.120126292186321315e-01, 1.037037037037036979e+00, 3.505981986784797444e-01
-8.002069612840856383e-01, 9.387250041280842394e-01, 3.371987940461293465e-01, 1.037037037037036979e+00, 5.321015015953263205e-01
-1.254164158898111836e+00, 9.396369742372721046e-01, 2.419435123917631769e-01, 1.037037037037036979e+00, 7.537827839575956812e-01
-1.764491027317876437e+00, 9.403009630870138302e-01, 1.725898743061900220e-01, 1.037037037037036979e+00, 1.000000000000000000e+00
-2.279224430117690048e+00, 9.404960418755048401e-01, 1.522138940461846279e-01, 1.037037037037036979e+00, 1.246217216042404097e+00
-2.742980872669619430e+00, 9.404024158022443736e-01, 1.619931377832482811e-01, 1.037037037037036979e+00, 1.467898498404673902e+00
-3.121702712200109087e+00, 9.401304539357961954e-01, 1.903995558519253339e-01, 1.037037037037036979e+00, 1.649401801321520367e+00
-3.406383154193221685e+00, 9.397490194559618981e-01, 2.302403888389513709e-01, 1.037037037037036979e+00, 1.786798775798831507e+00
