# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,IWRVVJHBKE,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,28,33
# x,y,z,u,w
3.921753610832547032e+00, 0.000000000000000000e+00, 2.503349687115691280e-02, 1.000000000000000000e+00, 0.000000000000000000e+00
3.945177659974065776e+00, 0.000000000000000000e+00, 1.270560063009618101e-02, 1.000000000000000000e+00, 4.173311976788848798e-02
3.835162950068022880e+00, 0.000000000000000000e+00, 2.495734265061194668e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
3.679375138851670446e+00, 0.000000000000000000e+00, 2.925956275823364539e-02, 1.000000000000000000e+00, 1.722603643809274832e-01
3.466379557437357928e+00, 0.000000000000000000e+00, 2.255666775344688721e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
3.187421372497392547e+00, 0.000000000000000000e+00, 1.150820533208465109e-03, 1.000000000000000000e+00, 4.134663504172014781e-01
2.840736395373883560e+00, 0.000000000000000000e+00, -3.695466390538153928e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
2.436145762075184518e+00, 0.000000000000000000e+00, -8.671323513673913352e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
1.996911461149472267e+00, 0.000000000000000000e+00, -1.363406614809611339e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
1.556275537176069479e+00, 0.000000000000000000e+00, -1.710844386456763788e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
1.148802312267444004e+00, 0.000000000000000000e+00, -1.809717746567365282e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
8.001790948425661076e-01, 0.000000000000000000e+00, -1.714104271112707467e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
5.211610986675468959e-01, 0.000000000000000000e+00, -1.506840775929090270e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
3.098691954416610272e-01, 0.000000000000000000e+00, -1.234875491045536733e-01, 1.000000000000000000e+00, 1.827739635619072489e+00
1.570879542168258369e-01, 0.000000000000000000e+00, -9.223876892483769130e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
5.315322720353270192e-02, 0.000000000000000000e+00, -5.450435025303790315e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
2.073334524268465387e-02, 0.000000000000000000e+00, 7.083817581269714891e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
1.034582614737716288e-01, 0.000000000000000000e+00, 1.402359637577484386e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
2.388054982481367938e-01, 0.000000000000000000e+00, 2.105781172935037304e-01, 1.000000000000000000e+00, 2.172260364380927289e+00
4.346268940336154296e-01, 0.000000000000000000e+00, 2.817213771790466614e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
7.001071440998413165e-01, 0.000000000000000000e+00, 3.481500028618650933e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.037107156177268674e+00, 0.000000000000000000e+00, 4.008504802151143798e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.434916205202186434e+00, 0.000000000000000000e+00, 4.265383831954206451e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
1.866996569740491552e+00, 0.000000000000000000e+00, 4.135175466562965307e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.296761892847690056e+00, 0.000000000000000000e+00, 3.664992574250379720e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
2.690059909083780454e+00, 0.000000000000000000e+00, 3.009826605578733161e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
3.024353398502658052e+00, 0.000000000000000000e+00, 2.328751325223396562e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
3.291463663604324630e+00, 0.000000000000000000e+00, 1.732669594553942483e-01, 1.000000000000000000e+00, 3.723464124463156111e+00
3.494544390538068868e+00, 0.000000000000000000e+00, 1.264199053415026031e-01, 1.000000000000000000e+00, 3.827739635619072267e+00
3.643056140544447263e+00, 0.000000000000000000e+00, 9.173202238850873547e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
3.748607344234094363e+00, 0.000000000000000000e+00, 6.715746947314646387e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
3.921753610832547032e+00, 0.000000000000000000e+00, 2.503349687115691280e-02, 1.000000000000000000e+00, 4.000000000000000000e+00
4.910203450132890168e+00, 1.285714285714285143e+00, 2.446226065420489468e-02, 1.071428571428571397e+00, 0.000000000000000000e+00
4.932828782915745336e+00, 1.285714285714285143e+00, 1.223772231868685938e-02, 1.071428571428571397e+00, 4.173311976788848798e-02
4.825911848840888752e+00, 1.285714285714285143e+00, 2.394226692382699778e-02, 1.071428571428571397e+00, 9.595583006934514658e-02
4.674533972396861969e+00, 1.285714285714285143e+00, 2.774466873995041702e-02, 1.071428571428571397e+00, 1.722603643809274832e-01
4.467603215794524019e+00, 1.285714285714285143e+00, 2.066086322042605394e-02, 1.071428571428571397e+00, 2.765358755368439447e-01
4.196617391529334995e+00, 1.285714285714285143e+00, -8.543070862277763345e-04, 1.071428571428571397e+00, 4.134663504172014781e-01
3.859839669795429806e+00, 1.285714285714285143e+00, -3.858496996354301989e-02, 1.071428571428571397e+00, 5.841612375912467181e-01
3.466777656220227044e+00, 1.285714285714285143e+00, -8.748296607937590397e-02, 1.071428571428571397e+00, 7.836633902842906618e-01
3.039984085115055024e+00, 1.285714285714285143e+00, -1.357529767214201988e-01, 1.071428571428571397e+00, 1.000000000000000000e+00
2.611776774694519965e+00, 1.285714285714285143e+00, -1.686858540348896429e-01, 1.071428571428571397e+00, 1.216336609715709338e+00
2.215838996810635564e+00, 1.285714285714285143e+00, -1.773627922791436717e-01, 1.071428571428571397e+00, 1.415838762408753171e+00
1.877121434013180989e+00, 1.285714285714285143e+00, -1.673423985196641484e-01, 1.071428571428571397e+00, 1.586533649582798411e+00
1.606060954501493887e+00, 1.285714285714285143e+00, -1.466063500666722752e-01, 1.071428571428571397e+00, 1.723464124463156111e+00
1.400837905601595379e+00, 1.285714285714285143e+00, -1.196296855553044547e-01, 1.071428571428571397e+00, 1.827739635619072489e+00
