# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,IWRVVJHBKE,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -8.800000000000000044e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,33,29
# x,y,z,u,w
3.236625550773992721e+00, 0.000000000000000000e+00, 5.792236721574546728e-03, 1.000000000000000000e+00, 0.000000000000000000e+00
3.163907513258369164e+00, 0.000000000000000000e+00, 4.814414993763705373e-03, 1.000000000000000000e+00, 4.834804258840433300e-02
3.021539019587906161e+00, 0.000000000000000000e+00, 1.725435758520230123e-02, 1.000000000000000000e+00, 1.152427548245849448e-01
2.812354163420351938e+00, 0.000000000000000000e+00, 1.402852292838217829e-02, 1.000000000000000000e+00, 2.132012242011685210e-01
2.521227067522581855e+00, 0.000000000000000000e+00, -2.332243890524804408e-02, 1.000000000000000000e+00, 3.505981986784797444e-01
2.141017441635936436e+00, 0.000000000000000000e+00, -9.995145395723385728e-02, 1.000000000000000000e+00, 5.321015015953263205e-01
1.677445416840977366e+00, 0.000000000000000000e+00, -1.975178786010594045e-01, 1.000000000000000000e+00, 7.537827839575956812e-01
1.156309809907027919e+00, 0.000000000000000000e+00, -2.685542178625797693e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
6.306743380615298378e-01, 0.000000000000000000e+00, -2.894245728502999881e-01, 1.000000000000000000e+00, 1.246217216042404097e+00
1.570955200243863426e-01, 0.000000000000000000e+00, -2.794080590090217142e-01, 1.000000000000000000e+00, 1.467898498404673902e+00
-2.296476595264170251e-01, 0.000000000000000000e+00, -2.503124267273911241e-01, 1.000000000000000000e+00, 1.649401801321520367e+00
