# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,IWRVVJHBKE,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -2.290000000000000036e+00, 0.000000000000000000e+00, 3.499999999999999778e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,33,29
# x,y,z,u,w
1.826568647178945959e+00, 0.000000000000000000e+00, 3.557921566562178839e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
1.753851614835570061e+00, 0.000000000000000000e+00, 3.548143484447132678e-01, 1.000000000000000000e+00, 4.834804258840433300e-02
1.611485089106813984e+00, 0.000000000000000000e+00, 3.672541190803966238e-01, 1.000000000000000000e+00, 1.152427548245849448e-01
1.402303124475106078e+00, 0.000000000000000000e+00, 3.640283290138815464e-01, 1.000000000000000000e+00, 2.132012242011685210e-01
1.111180052790412098e+00, 0.000000000000000000e+00, 3.266778834778792384e-01, 1.000000000000000000e+00, 3.505981986784797444e-01
7.309756824934044994e-01, 0.000000000000000000e+00, 2.500499276590900655e-01, 1.000000000000000000e+00, 5.321015015953263205e-01
2.674100655959928963e-01, 0.000000000000000000e+00, 1.524848516636293227e-01, 1.000000000000000000e+00, 7.537827839575956812e-01
-2.537183377462826073e-01, 0.000000000000000000e+00, 8.144949432845455251e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
-7.793465437990430011e-01, 0.000000000000000000e+00, 6.057942782901533374e-02, 1.000000000000000000e+00, 1.246217216042404097e+00
-1.252918815615999160e+00, 0.000000000000000000e+00, 7.059580321328796926e-02, 1.000000000000000000e+00, 1.467898498404673902e+00
-1.639656649264678023e+00, 0.000000000000000000e+00, 9.969103330966838650e-02, 1.000000000000000000e+00, 1.649401801321520367e+00
-1.930362613185465204e+00, 0.000000000000000000e+00, 1.404979453316798077e-01, 1.000000000000000000e+00, 1.786798775798831507e+00
-2.133022127809663271e+00, 0.000000000000000000e+00, 1.921107369367175133e-01, 1.000000000000000000e+00, 1.884757245175415097e+00
-2.255376990181352070e+00, 0.000000000000000000e+00, 2.638544552358540463e-01, 1.000000000000000000e+00, 1.951651957411595584e+00
-2.290000000000000036e+00, 0.000000000000000000e+00, 3.499999999999999778e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
-2.256147416206795597e+00, 0.000000000000000000e+00, 4.353110924260756853e-01, 1.000000000000000000e+00, 2.048348042588404194e+00
-2.135686407595313696e+00, 0.000000000000000000e+00, 5.069166843686725432e-01, 1.000000000000000000e+00, 2.115242754824584903e+00
-1.935421828004411093e+00, 0.000000000000000000e+00, 5.577024345797523264e-01, 1.000000000000000000e+00, 2.213201224201168493e+00
-1.648064240641178291e+00, 0.000000000000000000e+00, 5.970855839434254797e-01, 1.000000000000000000e+00, 2.350598198678479633e+00
-1.265931353677135274e+00, 0.000000000000000000e+00, 6.258659000549996465e-01, 1.000000000000000000e+00, 2.532101501595326098e+00
-7.980693127633360362e-01, 0.000000000000000000e+00, 6.396313558570687618e-01, 1.000000000000000000e+00, 2.753782783957595903e+00
-2.782273081725374908e-01, 0.000000000000000000e+00, 6.346938760599103446e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.408095866230149651e-01, 0.000000000000000000e+00, 6.058963829268005918e-01, 1.000000000000000000e+00, 3.246217216042404097e+00
7.061830648639204622e-01, 0.000000000000000000e+00, 5.558471902566568534e-01, 1.000000000000000000e+00, 3.467898498404673902e+00
1.085674907616377416e+00, 0.000000000000000000e+00, 5.023292621809880565e-01, 1.000000000000000000e+00, 3.649401801321520367e+00
1.372014232640790254e+00, 0.000000000000000000e+00, 4.556408843154369226e-01, 1.000000000000000000e+00, 3.786798775798831507e+00
1.575592340341737119e+00, 0.000000000000000000e+00, 4.190205440270274861e-01, 1.000000000000000000e+00, 3.884757245175415097e+00
1.714224784050794259e+00, 0.000000000000000000e+00, 3.919411607333982417e-01, 1.000000000000000000e+00, 3.951651957411595362e+00
1.826568647178945959e+00, 0.000000000000000000e+00, 3.557921566562178839e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
