# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,IWRVVJHBKE,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -8.800000000000000044e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,33,29
# x,y,z,u,w
3.229521274920553076e+00, 0.000000000000000000e+00, -2.092320794523738758e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
3.156912165493839684e+00, 0.000000000000000000e+00, -2.051349653809179108e-01, 1.000000000000000000e+00, 4.834804258840433300e-02
3.015758240847300264e+00, 0.000000000000000000e+00, -1.827942017736884917e-01, 1.000000000000000000e+00, 1.152427548245849448e-01
2.806857925625234174e+00, 0.000000000000000000e+00, -1.714201805324938599e-01, 1.000000000000000000e+00, 2.132012242011686320e-01
2.513834529312609423e+00, 0.000000000000000000e+00, -1.883721576791538566e-01, 1.000000000000000000e+00, 3.505981986784797444e-01
2.129205705088842659e+00, 0.000000000000000000e+00, -2.382924255164083904e-01, 1.000000000000000000e+00, 5.321015015953263205e-01
1.659957028708260340e+00, 0.000000000000000000e+00, -3.032840334773523883e-01, 1.000000000000000000e+00, 7.537827839575956812e-01
1.135135637386043062e+00, 0.000000000000000000e+00, -3.377947495044886783e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
6.093247447618825863e-01, 0.000000000000000000e+00, -3.219477883656278738e-01, 1.000000000000000000e+00, 1.246217216042404097e+00
1.375982576082664943e-01, 0.000000000000000000e+00, -2.789204858624567684e-01, 1.000000000000000000e+00, 1.467898498404673902e+00
-2.461732262854731124e-01, 0.000000000000000000e+00, -2.229178886286677375e-01, 1.000000000000000000e+00, 1.649401801321520367e+00
-5.333284681125768367e-01, 0.000000000000000000e+00, -1.619309142386484157e-01, 1.000000000000000000e+00, 1.786798775798831507e+00
-7.318967327863670214e-01, 0.000000000000000000e+00, -9.630612856590697879e-02, 1.000000000000000000e+00, 1.884757245175415097e+00
-8.489505740814764501e-01, 0.000000000000000000e+00, -1.620102333147156737e-02, 1.000000000000000000e+00, 1.951651957411595584e+00
-8.774804289214191977e-01, 0.000000000000000000e+00, 7.215107557054996346e-02, 1.000000000000000000e+00, 2.000000000000000000e+00
-8.377587582743718508e-01, 0.000000000000000000e+00, 1.548940613364963026e-01, 1.000000000000000000e+00, 2.048348042588404194e+00
-7.125945029015486876e-01, 0.000000000000000000e+00, 2.179231617149015865e-01, 1.000000000000000000e+00, 2.115242754824584903e+00
-5.092723124131325330e-01, 0.000000000000000000e+00, 2.546159567027095894e-01, 1.000000000000000000e+00, 2.213201224201168493e+00
-2.198634836039393969e-01, 0.000000000000000000e+00, 2.738583846814960920e-01, 1.000000000000000000e+00, 2.350598198678479633e+00
1.633514573503032918e-01, 0.000000000000000000e+00, 2.759123790853473812e-01, 1.000000000000000000e+00, 2.532101501595326098e+00
6.310405043099588385e-01, 0.000000000000000000e+00, 2.570076354381718997e-01, 1.000000000000000000e+00, 2.753782783957595903e+00
1.149278942269383208e+00, 0.000000000000000000e+00, 2.158192686077184952e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
1.665049807137801707e+00, 0.000000000000000000e+00, 1.508848436161305540e-01, 1.000000000000000000e+00, 3.246217216042404097e+00
2.125804772738587367e+00, 0.000000000000000000e+00, 6.849361656421833200e-02, 1.000000000000000000e+00, 3.467898498404673902e+00
2.500644151848034902e+00, 0.000000000000000000e+00, -1.136706119759316874e-02, 1.000000000000000000e+00, 3.649401801321520367e+00
2.783033055489467333e+00, 0.000000000000000000e+00, -7.791665003575071191e-02, 1.000000000000000000e+00, 3.786798775798831507e+00
2.983563523253353278e+00, 0.000000000000000000e+00, -1.286493772125493762e-01, 1.000000000000000000e+00, 3.884757245175415097e+00
3.119971188553377850e+00, 0.000000000000000000e+00, -1.653338139934915074e-01, 1.000000000000000000e+00, 3.951651957411595362e+00
3.229521274920553076e+00, 0.000000000000000000e+00, -2.092320794523738758e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
3.685836269583350422e+00, 9.377365997104135653e-01, -2.014054217718173334e-01, 1.037037037037036979e+00, 0.000000000000000000e+00
3.614731351746260479e+00, 9.377457395778536764e-01, -1.974731057494377440e-01, 1.037037037037036979e+00, 4.834804258840433300e-02
3.476485271078666894e+00, 9.376294613003131051e-01, -1.757937152410675441e-01, 1.037037037037036979e+00, 1.152427548245849448e-01
3.271913066171724616e+00, 9.376596137302593004e-01, -1.648840161785695979e-01, 1.037037037037036979e+00, 2.132012242011686320e-01
2.984998094826418313e+00, 9.380087395782760185e-01, -1.817067457037443434e-01, 1.037037037037036979e+00, 3.505981986784797444e-01
2.608418773892786646e+00, 9.387250041280842394e-01, -2.308010465213206353e-01, 1.037037037037036979e+00, 5.321015015953263205e-01
2.148995171048159847e+00, 9.396369742372721046e-01, -2.946879861847638282e-01, 1.037037037037036979e+00, 7.537827839575956812e-01
1.635119028773027061e+00, 9.403009630870138302e-01, -3.288688018964857074e-01, 1.037037037037036979e+00, 1.000000000000000000e+00
1.120216702260427466e+00, 9.404960418755048401e-01, -3.138873666271909113e-01, 1.037037037037036979e+00, 1.246217216042404097e+00
6.582439857444880582e-01, 9.404024158022443736e-01, -2.723199560305267219e-01, 1.037037037037036979e+00, 1.467898498404673902e+00
2.823837790689478489e-01, 9.401304539357961954e-01, -2.180031272671785481e-01, 1.037037037037036979e+00, 1.649401801321520367e+00
1.126420559811380784e-03, 9.397490194559618981e-01, -1.587301848143408689e-01, 1.037037037037036979e+00, 1.786798775798831507e+00
-1.933901090905016940e-01, 9.392665791696679367e-01, -9.484695062586555314e-02, 1.037037037037036979e+00, 1.884757245175415097e+00
-3.081025815829769865e-01, 9.385959690569481984e-01, -1.675097064507200320e-02, 1.037037037037036979e+00, 1.951651957411595584e+00
-3.361400097585697244e-01, 9.377907407407393148e-01, 6.947881351238145708e-02, 1.037037037037036979e+00, 2.000000000000000000e+00
-2.973378327367666163e-01, 9.369933123015058429e-01, 1.502960900859701687e-01, 1.037037037037036979e+00, 2.048348042588404194e+00
-1.748461951017963312e-01, 9.363239932973840274e-01, 2.119466659408607012e-01, 1.037037037037036979e+00, 2.115242754824584903e+00
2.420915992626759827e-02, 9.358492836157417116e-01, 2.479584242073311906e-01, 1.037037037037036979e+00, 2.213201224201168493e+00
3.075820723422070246e-01, 9.354811574736884294e-01, 2.670139082843880907e-01, 1.037037037037036979e+00, 2.350598198678479633e+00
6.828313041667793959e-01, 9.352121392029706382e-01, 2.693760267285327803e-01, 1.037037037037036979e+00, 2.532101501595326098e+00
1.140823058409724755e+00, 9.350834693474640025e-01, 2.513552183696630693e-01, 1.037037037037036979e+00, 2.753782783957595903e+00
1.648339096584586105e+00, 9.351296214561338749e-01, 2.116264345650004097e-01, 1.037037037037036979e+00, 3.000000000000000000e+00
2.153465832775267597e+00, 9.353988002856380435e-01, 1.487125610679910503e-01, 1.037037037037036979e+00, 3.246217216042404097e+00
2.604739768572194247e+00, 9.358666251424166971e-01, 6.870473780721475521e-02, 1.037037037037036979e+00, 3.467898498404673902e+00
2.971880604712285212e+00, 9.363668733122940679e-01, -8.912565501216516972e-03, 1.037037037037036979e+00, 3.649401801321520367e+00
3.248476995054740080e+00, 9.368032836222890403e-01, -7.362061326711659415e-02, 1.037037037037036979e+00, 3.786798775798831507e+00
3.444898023478508264e+00, 9.371455849569680918e-01, -1.229632075173055367e-01, 1.037037037037036979e+00, 3.884757245175415097e+00
3.578512779634646535e+00, 9.373987040970607199e-01, -1.586504530499005250e-01, 1.037037037037036979e+00, 3.951651957411595362e+00
3.685836269583350422e+00, 9.377365997104135653e-01, -2.014054217718173334e-01, 1.037037037037036979e+00, 4.000000000000000000e+00
4.142151264246146880e+00, 1.875473199420827131e+00, -1.935787640912608187e-01, 1.074074074074073959e+00, 0.000000000000000000e+00
4.072550537998680831e+00, 1.875491479155707353e+00, -1.898112461179575772e-01, 1.074074074074073959e+00, 4.834804258840433300e-02
3.937212301310033524e+00, 1.875258922600626210e+00, -1.687932287084466243e-01, 1.074074074074073959e+00, 1.152427548245849448e-01
3.736968206718214613e+00, 1.875319227460518601e+00, -1.583478518246453637e-01, 1.074074074074073959e+00, 2.132012242011686320e-01
3.456161660340227648e+00, 1.876017479156552037e+00, -1.750413337283348580e-01, 1.074074074074073959e+00, 3.505981986784797444e-01
3.087631842696731077e+00, 1.877450008256168479e+00, -2.233096675262329078e-01, 1.074074074074073959e+00, 5.321015015953263205e-01
2.638033313388059575e+00, 1.879273948474544209e+00, -2.860919388921752127e-01, 1.074074074074073959e+00, 7.537827839575956812e-01
2.135102420160011061e+00, 1.880601926174027660e+00, -3.199428542884826809e-01, 1.074074074074073959e+00, 1.000000000000000000e+00
1.631108659758972346e+00, 1.880992083751009680e+00, -3.058269448887538378e-01, 1.074074074074073959e+00, 1.246217216042404097e+00
1.178889713880709511e+00, 1.880804831604488747e+00, -2.657194261985967310e-01, 1.074074074074073959e+00, 1.467898498404673902e+00
8.109407844233686991e-01, 1.880260907871592391e+00, -2.130883659056893864e-01, 1.074074074074073959e+00, 1.649401801321520367e+00
5.355813092321995983e-01, 1.879498038911923796e+00, -1.555294553900333776e-01, 1.074074074074073959e+00, 1.786798775798831507e+00
3.451165146053637445e-01, 1.878533158339335873e+00, -9.338777268582412749e-02, 1.074074074074073959e+00, 1.884757245175415097e+00
2.327454109155224771e-01, 1.877191938113896397e+00, -1.730091795867243903e-02, 1.074074074074073959e+00, 1.951651957411595584e+00
2.052004094042798599e-01, 1.875581481481478630e+00, 6.680655145421293684e-02, 1.074074074074073959e+00, 2.000000000000000000e+00
2.430830928008387293e-01, 1.873986624603011686e+00, 1.456981188354440626e-01, 1.074074074074073959e+00, 2.048348042588404194e+00
3.629021126979559142e-01, 1.872647986594768055e+00, 2.059701701668197882e-01, 1.074074074074073959e+00, 2.115242754824584903e+00
5.576906322656677295e-01, 1.871698567231483423e+00, 2.413008917119528196e-01, 1.074074074074073959e+00, 2.213201224201168493e+00
8.350276282883535295e-01, 1.870962314947376859e+00, 2.601694318872801448e-01, 1.074074074074073959e+00, 2.350598198678479633e+00
1.202311150983255583e+00, 1.870424278405941276e+00, 2.628396743717181239e-01, 1.074074074074073959e+00, 2.532101501595326098e+00
1.650605612509490783e+00, 1.870166938694928005e+00, 2.457028013011542389e-01, 1.074074074074073959e+00, 2.753782783957595903e+00
2.147399250899789003e+00, 1.870259242912267750e+00, 2.074336005222823243e-01, 1.074074074074073959e+00, 3.000000000000000000e+00
2.641881858412733486e+00, 1.870797600571276087e+00, 1.465402785198515467e-01, 1.074074074074073959e+00, 3.246217216042404097e+00
3.083674764405801572e+00, 1.871733250284833394e+00, 6.891585905021119229e-02, 1.074074074074073959e+00, 3.467898498404673902e+00
3.443117057576535522e+00, 1.872733746624588136e+00, -6.458069804839866937e-03, 1.074074074074073959e+00, 3.649401801321520367e+00
3.713920934620013270e+00, 1.873606567244578081e+00, -6.932457649848249026e-02, 1.074074074074073959e+00, 3.786798775798831507e+00
3.906232523703662807e+00, 1.874291169913936184e+00, -1.172770378220616694e-01, 1.074074074074073959e+00, 3.884757245175415097e+00
4.037054370715915219e+00, 1.874797408194121440e+00, -1.519670921063094871e-01, 1.074074074074073959e+00, 3.951651957411595362e+00
4.142151264246146880e+00, 1.875473199420827131e+00, -1.935787640912608187e-01, 1.074074074074073959e+00, 4.000000000000000000e+00
4.598466258908946891e+00, 2.813209799131246136e+00, -1.857521064107042486e-01, 1.111111111111111160e+00, 0.000000000000000000e+00
4.530369724251103847e+00, 2.813237218733566802e+00, -1.821493864864773826e-01, 1.111111111111111160e+00, 4.834804258840433300e-02
4.397939331541403263e+00, 2.812888383900944866e+00, -1.617927421758256212e-01, 1.111111111111111160e+00, 1.152427548245849448e-01
4.202023347264708164e+00, 2.812978841190783452e+00, -1.518116874707210739e-01, 1.111111111111111160e+00, 2.132012242011686320e-01
3.927325225854039648e+00, 2.814026218734833495e+00, -1.683759217529253449e-01, 1.111111111111111160e+00, 3.505981986784797444e-01
3.566844911500677728e+00, 2.816175012384258380e+00, -2.158182885311451249e-01, 1.111111111111111160e+00, 5.321015015953263205e-01
3.127071455727961968e+00, 2.818910922711821865e+00, -2.774958915995865971e-01, 1.111111111111111160e+00, 7.537827839575956812e-01
