# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Strut,0,GJEEKLPTLV,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -2.290000000000000036e+00, 0.000000000000000000e+00, -4.430000000000000604e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,52,25
# x,y,z,u,w
1.252990994189679519e+00, 0.000000000000000000e+00, -4.455837322066433792e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.157455623965666369e+00, 0.000000000000000000e+00, -4.449300420317545246e+00, 1.000000000000000000e+00, 5.771534743847431259e-02
1.003614833492622038e+00, 0.000000000000000000e+00, -4.434808158550533896e+00, 1.000000000000000000e+00, 1.440022120384465143e-01
7.671515765799463704e-01, 0.000000000000000000e+00, -4.439068139150434078e+00, 1.000000000000000000e+00, 2.765358755368439447e-01
4.280927236263679658e-01, 0.000000000000000000e+00, -4.472856903098334058e+00, 1.000000000000000000e+00, 4.667132275822860055e-01
-1.349297628221247242e-02, 0.000000000000000000e+00, -4.533440129299215471e+00, 1.000000000000000000e+00, 7.145652345573094699e-01
-5.223153219846681239e-01, 0.000000000000000000e+00, -4.588400601790104005e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.031555267788673902e+00, 0.000000000000000000e+00, -4.606665443839347951e+00, 1.000000000000000000e+00, 1.285434765442690752e+00
-1.473784482298345466e+00, 0.000000000000000000e+00, -4.597898367620169680e+00, 1.000000000000000000e+00, 1.533286772417713939e+00
-1.812981940610267184e+00, 0.000000000000000000e+00, -4.573854123326357879e+00, 1.000000000000000000e+00, 1.723464124463156111e+00
-2.049158952376351372e+00, 0.000000000000000000e+00, -4.544094483066289492e+00, 1.000000000000000000e+00, 1.855997787961553458e+00
-2.202393256320379855e+00, 0.000000000000000000e+00, -4.507481654052856612e+00, 1.000000000000000000e+00, 1.942284652561525382e+00
-2.290000000000000036e+00, 0.000000000000000000e+00, -4.430000000000000604e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
-2.202387659787060858e+00, 0.000000000000000000e+00, -4.352516267216456569e+00, 1.000000000000000000e+00, 2.057715347438474396e+00
-2.049144242004349969e+00, 0.000000000000000000e+00, -4.315903058900668832e+00, 1.000000000000000000e+00, 2.144002212038446320e+00
-1.812934705526249690e+00, 0.000000000000000000e+00, -4.287200508209618732e+00, 1.000000000000000000e+00, 2.276535875536843889e+00
-1.473691965658435077e+00, 0.000000000000000000e+00, -4.265187901686160465e+00, 1.000000000000000000e+00, 2.466713227582285839e+00
-1.031443500922889056e+00, 0.000000000000000000e+00, -4.253103813019055934e+00, 1.000000000000000000e+00, 2.714565234557309914e+00
-5.221039445761201936e-01, 0.000000000000000000e+00, -4.255892745528862875e+00, 1.000000000000000000e+00, 3.000000000000000000e+00
-1.281563828605972177e-02, 0.000000000000000000e+00, -4.274133268483024217e+00, 1.000000000000000000e+00, 3.285434765442690974e+00
4.292736742103928638e-01, 0.000000000000000000e+00, -4.305885033572197429e+00, 1.000000000000000000e+00, 3.533286772417714161e+00
7.682211532826084266e-01, 0.000000000000000000e+00, -4.347309303072421471e+00, 1.000000000000000000e+00, 3.723464124463156111e+00
1.004157669654472951e+00, 0.000000000000000000e+00, -4.387882983886135513e+00, 1.000000000000000000e+00, 3.855997787961553236e+00
1.157574638910862097e+00, 0.000000000000000000e+00, -4.420499117241712739e+00, 1.000000000000000000e+00, 3.942284652561525604e+00
1.252990994189679519e+00, 0.000000000000000000e+00, -4.455837322066433792e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
1.294813088521677980e+00, 1.876304913124511031e-01, -4.455345315061882694e+00, 1.062500000000000000e+00, 0.000000000000000000e+00
1.201069006489364988e+00, 1.875974767110778207e-01, -4.448932892213719903e+00, 1.062500000000000000e+00, 5.771534743847431259e-02
1.050112730837690300e+00, 1.875242835893796700e-01, -4.434716599228720746e+00, 1.062500000000000000e+00, 1.440022120384465143e-01
8.180831599921272179e-01, 1.875457986077731509e-01, -4.438895459181171788e+00, 1.062500000000000000e+00, 2.765358755368439447e-01
4.853816605314284494e-01, 1.877164486520124242e-01, -4.472040800854319542e+00, 1.062500000000000000e+00, 4.667132275822860055e-01
5.207569249613389767e-02, 1.880224240421534965e-01, -4.531470371441336908e+00, 1.062500000000000000e+00, 7.145652345573094699e-01
-4.472062342244007560e-01, 1.883000017326675324e-01, -4.585384259562164111e+00, 1.062500000000000000e+00, 1.000000000000000000e+00
-9.468979310445814201e-01, 1.883922482590137948e-01, -4.603301293498703650e+00, 1.062500000000000000e+00, 1.285434765442690752e+00
-1.380835347782196632e+00, 1.883479701686119057e-01, -4.594701164260260207e+00, 1.062500000000000000e+00, 1.533286772417713939e+00
-1.713672853750769720e+00, 1.882265347897159602e-01, -4.571114782301457069e+00, 1.062500000000000000e+00, 1.723464124463156111e+00
-1.945421546546239888e+00, 1.880762338217741303e-01, -4.541921839759644364e+00, 1.062500000000000000e+00, 1.855997787961553458e+00
