# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Main Wing,0,ORKZVUJNWC,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,20,33
# x,y,z,u,w
4.454521099547510410e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
4.369475763787462164e+00, 0.000000000000000000e+00, -9.846477266257962907e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
4.247227217137062638e+00, 0.000000000000000000e+00, -2.366412514937162731e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
4.075122071351280795e+00, 0.000000000000000000e+00, -4.246400021560989280e-02, 1.000000000000000000e+00, 1.722603643809274832e-01
3.839803212422050471e+00, 0.000000000000000000e+00, -6.698303380186229616e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
3.530590262146426017e+00, 0.000000000000000000e+00, -9.717937424722306039e-02, 1.000000000000000000e+00, 4.134663504172014781e-01
3.144827968897169868e+00, 0.000000000000000000e+00, -1.315693635093054814e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
2.693542460407666983e+00, 0.000000000000000000e+00, -1.667117343720998512e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
2.203651183341692743e+00, 0.000000000000000000e+00, -1.972875085068854784e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
1.713221962116054264e+00, 0.000000000000000000e+00, -2.173373500136380754e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
1.260617668017819160e+00, 0.000000000000000000e+00, -2.225436465685286525e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
8.734941644296467800e-01, 0.000000000000000000e+00, -2.120848029374030608e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
5.637545530619060274e-01, 0.000000000000000000e+00, -1.883796330598609403e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
3.295661071122162888e-01, 0.000000000000000000e+00, -1.551182902430836286e-01, 1.000000000000000000e+00, 1.827739635619072489e+00
1.612933097504520019e-01, 0.000000000000000000e+00, -1.148243466949525338e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
4.867318005108753343e-02, 0.000000000000000000e+00, -6.614763519337324427e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
4.867318005108590973e-02, 0.000000000000000000e+00, 6.614763519337218955e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
1.612933097504515023e-01, 0.000000000000000000e+00, 1.148243466949523950e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
3.295661071122143460e-01, 0.000000000000000000e+00, 1.551182902430832122e-01, 1.000000000000000000e+00, 2.172260364380927289e+00
5.637545530619054723e-01, 0.000000000000000000e+00, 1.883796330598608848e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
8.734941644296446706e-01, 0.000000000000000000e+00, 2.120848029374029775e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.260617668017817605e+00, 0.000000000000000000e+00, 2.225436465685285969e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.713221962116052488e+00, 0.000000000000000000e+00, 2.173373500136380754e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
2.203651183341691411e+00, 0.000000000000000000e+00, 1.972875085068855894e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.693542460407664763e+00, 0.000000000000000000e+00, 1.667117343720999900e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
3.144827968897165871e+00, 0.000000000000000000e+00, 1.315693635093057867e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
3.530590262146423353e+00, 0.000000000000000000e+00, 9.717937424722322692e-02, 1.000000000000000000e+00, 3.586533649582798411e+00
