# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
10

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,IWRVVJHBKE,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,28,33
# x,y,z,u,w
3.953156882118865401e+00, 0.000000000000000000e+00, 5.562230563926055631e-03, 1.000000000000000000e+00, 0.000000000000000000e+00
3.896766597658651410e+00, 0.000000000000000000e+00, 2.710102323317185348e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
3.786131629103963281e+00, 0.000000000000000000e+00, 1.436914601960693864e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
3.629629048005728720e+00, 0.000000000000000000e+00, 1.788526739044098146e-02, 1.000000000000000000e+00, 1.722603643809274832e-01
3.416432091270494187e+00, 0.000000000000000000e+00, 3.514461978278574984e-04, 1.000000000000000000e+00, 2.765358755368439447e-01
3.139319649785734967e+00, 0.000000000000000000e+00, -4.596446188871448901e-02, 1.000000000000000000e+00, 4.134663504172014781e-01
2.796711723638399150e+00, 0.000000000000000000e+00, -1.189378645460683337e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
2.395539537470066094e+00, 0.000000000000000000e+00, -2.005420550270817504e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
1.955449199805559868e+00, 0.000000000000000000e+00, -2.578900950478483778e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
1.512004911267891938e+00, 0.000000000000000000e+00, -2.772954597274724931e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
1.102648384076559296e+00, 0.000000000000000000e+00, -2.729798304845382773e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
7.529715894509785290e-01, 0.000000000000000000e+00, -2.525203046959563213e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
4.736468647654989428e-01, 0.000000000000000000e+00, -2.220495320051519006e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
2.631102100970734159e-01, 0.000000000000000000e+00, -1.840663693386848931e-01, 1.000000000000000000e+00, 1.827739635619072489e+00
1.140707101414905472e-01, 0.000000000000000000e+00, -1.367441294024780429e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
2.441192990368342905e-02, 0.000000000000000000e+00, -7.233678552603386991e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
2.385199923805624012e-02, 0.000000000000000000e+00, 7.160097397667850028e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
1.120231153433925153e-01, 0.000000000000000000e+00, 1.358055751498446484e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
2.591467658355847692e-01, 0.000000000000000000e+00, 1.829390941032642826e-01, 1.000000000000000000e+00, 2.172260364380927289e+00
4.673239980076508426e-01, 0.000000000000000000e+00, 2.196133918372872862e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
7.433914846628471018e-01, 0.000000000000000000e+00, 2.489962471178230330e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.088875558092681661e+00, 0.000000000000000000e+00, 2.696199645699971503e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.493294297428421125e+00, 0.000000000000000000e+00, 2.787698539115286422e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
1.931913140184498445e+00, 0.000000000000000000e+00, 2.733926364168821066e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.369953560847575691e+00, 0.000000000000000000e+00, 2.506302819038118135e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
2.772503920913109265e+00, 0.000000000000000000e+00, 2.108162558815311893e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
