# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Main Wing,0,ORKZVUJNWC,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,20,33
# x,y,z,u,w
3.217154127450979839e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
3.155732496068732296e+00, 0.000000000000000000e+00, -7.111344692297419390e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
3.067441879043447450e+00, 0.000000000000000000e+00, -1.709075705232395576e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
2.943143718198153902e+00, 0.000000000000000000e+00, -3.066844460016271076e-02, 1.000000000000000000e+00, 1.722603643809274832e-01
2.773191208971480748e+00, 0.000000000000000000e+00, -4.837663552356721158e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
2.549870744883529827e+00, 0.000000000000000000e+00, -7.018510362299443250e-02, 1.000000000000000000e+00, 4.134663504172014781e-01
2.271264644203511374e+00, 0.000000000000000000e+00, -9.502231809005398655e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
1.945336221405537191e+00, 0.000000000000000000e+00, -1.204029192687387922e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
1.591525854635666981e+00, 0.000000000000000000e+00, -1.424854228105284226e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
1.237326972639372524e+00, 0.000000000000000000e+00, -1.569658638987386223e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
9.104460935684250966e-01, 0.000000000000000000e+00, -1.607259669661595947e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
6.308568965325224154e-01, 0.000000000000000000e+00, -1.531723576770133710e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
4.071560661002655013e-01, 0.000000000000000000e+00, -1.360519572098995711e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
2.380199662477117950e-01, 0.000000000000000000e+00, -1.120298762866714926e-01, 1.000000000000000000e+00, 1.827739635619072489e+00
1.164896125975486835e-01, 0.000000000000000000e+00, -8.292869483524349661e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
3.515285225911877337e-02, 0.000000000000000000e+00, -4.777329208410288630e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
3.515285225911760070e-02, 0.000000000000000000e+00, 4.777329208410214384e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
1.164896125975483365e-01, 0.000000000000000000e+00, 8.292869483524339946e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
2.380199662477103240e-01, 0.000000000000000000e+00, 1.120298762866712705e-01, 1.000000000000000000e+00, 2.172260364380927289e+00
4.071560661002651682e-01, 0.000000000000000000e+00, 1.360519572098995433e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
6.308568965325209721e-01, 0.000000000000000000e+00, 1.531723576770132600e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
9.104460935684238754e-01, 0.000000000000000000e+00, 1.607259669661595392e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.237326972639371192e+00, 0.000000000000000000e+00, 1.569658638987386223e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
1.591525854635666093e+00, 0.000000000000000000e+00, 1.424854228105284781e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
1.945336221405535415e+00, 0.000000000000000000e+00, 1.204029192687389171e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
2.271264644203508709e+00, 0.000000000000000000e+00, 9.502231809005420859e-02, 1.000000000000000000e+00, 3.415838762408752949e+00
2.549870744883528051e+00, 0.000000000000000000e+00, 7.018510362299457128e-02, 1.000000000000000000e+00, 3.586533649582798411e+00
2.773191208971477639e+00, 0.000000000000000000e+00, 4.837663552356735730e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
2.943143718198157899e+00, 0.000000000000000000e+00, 3.066844460016375160e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
