# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Main Wing,0,ORKZVUJNWC,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,20,33
# x,y,z,u,w
5.025687041106047026e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
4.929737054051513745e+00, 0.000000000000000000e+00, -1.110900859861336035e-02, 1.000000000000000000e+00, 4.173311976788848798e-02
4.791813599887754904e+00, 0.000000000000000000e+00, -2.669837777048343283e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
4.597640852345673323e+00, 0.000000000000000000e+00, -4.790880339949298711e-02, 1.000000000000000000e+00, 1.722603643809274832e-01
4.332149026531072700e+00, 0.000000000000000000e+00, -7.557170735731459643e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
3.983288288774048613e+00, 0.000000000000000000e+00, -1.096398716950009733e-01, 1.000000000000000000e+00, 4.134663504172014781e-01
3.548062926764410374e+00, 0.000000000000000000e+00, -1.484394013225023845e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
3.038912856269731400e+00, 0.000000000000000000e+00, -1.880877841434590025e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
2.486206922751658777e+00, 0.000000000000000000e+00, -2.225840337754535492e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
1.932894068998695314e+00, 0.000000000000000000e+00, -2.452046985753019714e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
1.422256116059263054e+00, 0.000000000000000000e+00, -2.510785549435490815e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
9.854950071067696271e-01, 0.000000000000000000e+00, -2.392786613686277430e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
6.360400789156783752e-01, 0.000000000000000000e+00, -2.125339760481603779e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
3.718236094717071172e-01, 0.000000000000000000e+00, -1.750078097491515328e-01, 1.000000000000000000e+00, 1.827739635619072489e+00
1.819746003026659620e-01, 0.000000000000000000e+00, -1.295473112130751669e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
5.491413437395550878e-02, 0.000000000000000000e+00, -7.462919258030120684e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
5.491413437395367692e-02, 0.000000000000000000e+00, 7.462919258030002723e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
1.819746003026654346e-01, 0.000000000000000000e+00, 1.295473112130750004e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
3.718236094717047857e-01, 0.000000000000000000e+00, 1.750078097491510887e-01, 1.000000000000000000e+00, 2.172260364380927289e+00
6.360400789156777090e-01, 0.000000000000000000e+00, 2.125339760481602669e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
9.854950071067672956e-01, 0.000000000000000000e+00, 2.392786613686276875e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.422256116059261055e+00, 0.000000000000000000e+00, 2.510785549435491371e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.932894068998693093e+00, 0.000000000000000000e+00, 2.452046985753019714e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
2.486206922751656556e+00, 0.000000000000000000e+00, 2.225840337754536324e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
3.038912856269728735e+00, 0.000000000000000000e+00, 1.880877841434591968e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
3.548062926764405489e+00, 0.000000000000000000e+00, 1.484394013225027176e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
3.983288288774044617e+00, 0.000000000000000000e+00, 1.096398716950011676e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
4.332149026531068259e+00, 0.000000000000000000e+00, 7.557170735731480460e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
4.597640852345683982e+00, 0.000000000000000000e+00, 4.790880339949463163e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
4.791813599887787767e+00, 0.000000000000000000e+00, 2.669837777048583022e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
4.929737054051537726e+00, 0.000000000000000000e+00, 1.110900859861515232e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
5.025687041106047026e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
5.433223978565878909e+00, 1.295327846052630072e+00, 0.000000000000000000e+00, 1.052631578947368363e+00, 0.000000000000000000e+00
5.341555098754557029e+00, 1.295327846052630072e+00, -1.061334561171381474e-02, 1.052631578947368363e+00, 4.173311976788848798e-02
5.209785528679324429e+00, 1.295327846052630072e+00, -2.550714656802113151e-02, 1.052631578947368363e+00, 9.595583006934514658e-02
