# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,IWRVVJHBKE,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,28,33
# x,y,z,u,w
3.874530802052275735e+00, 0.000000000000000000e+00, 2.473206232091314932e-02, 1.000000000000000000e+00, 0.000000000000000000e+00
3.897672796403198525e+00, 0.000000000000000000e+00, 1.255260933881866860e-02, 1.000000000000000000e+00, 4.173311976788848798e-02
3.788982800929639350e+00, 0.000000000000000000e+00, 2.465682509224260618e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
3.635070869421549666e+00, 0.000000000000000000e+00, 2.890724109954762727e-02, 1.000000000000000000e+00, 1.722603643809274832e-01
3.424640020677945262e+00, 0.000000000000000000e+00, 2.228505731746770885e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
3.149040840492568272e+00, 0.000000000000000000e+00, 1.136963217483682922e-03, 1.000000000000000000e+00, 4.134663504172014781e-01
2.806530383241107707e+00, 0.000000000000000000e+00, -3.650968362351918184e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
2.406811526195199669e+00, 0.000000000000000000e+00, -8.566909954640773706e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
1.972866154524261839e+00, 0.000000000000000000e+00, -1.346989497303026639e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
1.537536037096696617e+00, 0.000000000000000000e+00, -1.690243684492395426e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
1.134969298442023877e+00, 0.000000000000000000e+00, -1.787926485929175469e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
7.905439397218192443e-01, 0.000000000000000000e+00, -1.693464316067949116e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
5.148856685033175173e-01, 0.000000000000000000e+00, -1.488696532081779655e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
3.061379835361452417e-01, 0.000000000000000000e+00, -1.220006048707289459e-01, 1.000000000000000000e+00, 1.827739635619072489e+00
1.551964191639415569e-01, 0.000000000000000000e+00, -9.112809901048257721e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
5.251319599979935998e-02, 0.000000000000000000e+00, -5.384804984125712846e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
2.048368988568664145e-02, 0.000000000000000000e+00, 6.998519575257652892e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
1.022124948644618503e-01, 0.000000000000000000e+00, 1.385473477053892899e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
2.359299819616724747e-01, 0.000000000000000000e+00, 2.080424939083952707e-01, 1.000000000000000000e+00, 2.172260364380927289e+00
4.293934437089900746e-01, 0.000000000000000000e+00, 2.783291001407609544e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
6.916769801802598039e-01, 0.000000000000000000e+00, 3.439578422512176159e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.024619091453994990e+00, 0.000000000000000000e+00, 3.960237400740733160e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.417638022965850286e+00, 0.000000000000000000e+00, 4.214023286377230892e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
1.844515600573343406e+00, 0.000000000000000000e+00, 4.085382792237125527e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.269106012738297817e+00, 0.000000000000000000e+00, 3.620861488851008780e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
2.657668229926973158e+00, 0.000000000000000000e+00, 2.973584536249230803e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
2.987936408453368387e+00, 0.000000000000000000e+00, 2.300710252417580426e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
3.251830332544395130e+00, 0.000000000000000000e+00, 1.711806089840896272e-01, 1.000000000000000000e+00, 3.723464124463156111e+00
3.452465714031536237e+00, 0.000000000000000000e+00, 1.248976518782886069e-01, 1.000000000000000000e+00, 3.827739635619072267e+00
3.599189197188920275e+00, 0.000000000000000000e+00, 9.062745433499440340e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
3.703469432632475744e+00, 0.000000000000000000e+00, 6.634880971177402331e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
3.874530802052275735e+00, 0.000000000000000000e+00, 2.473206232091314932e-02, 1.000000000000000000e+00, 4.000000000000000000e+00
4.862980504311400054e+00, 1.285714285714285143e+00, 2.415754254294035300e-02, 1.071428571428571397e+00, 0.000000000000000000e+00
4.885326097573393866e+00, 1.285714285714285143e+00, 1.208669327396009324e-02, 1.071428571428571397e+00, 4.173311976788848798e-02
4.779736330586603188e+00, 1.285714285714285143e+00, 2.364756206822200488e-02, 1.071428571428571397e+00, 9.595583006934514658e-02
4.630237332082797863e+00, 1.285714285714285143e+00, 2.740578590798398162e-02, 1.071428571428571397e+00, 1.722603643809274832e-01
4.425874683631554340e+00, 1.285714285714285143e+00, 2.041445741859155422e-02, 1.071428571428571397e+00, 2.765358755368439447e-01
4.158251687051954804e+00, 1.285714285714285143e+00, -8.279620102634387656e-04, 1.071428571428571397e+00, 4.134663504172014781e-01
3.825653249991281868e+00, 1.285714285714285143e+00, -3.808470107188602349e-02, 1.071428571428571397e+00, 5.841612375912467181e-01
3.437469254663133356e+00, 1.285714285714285143e+00, -8.637141023871455769e-02, 1.071428571428571397e+00, 7.836633902842906618e-01
3.015972919613424175e+00, 1.285714285714285143e+00, -1.340419229506892851e-01, 1.071428571428571397e+00, 1.000000000000000000e+00
2.593080805673593225e+00, 1.285714285714285143e+00, -1.665726455457910982e-01, 1.071428571428571397e+00, 1.216336609715709338e+00
2.202057336258674614e+00, 1.285714285714285143e+00, -1.751493128049714243e-01, 1.071428571428571397e+00, 1.415838762408753171e+00
1.867543585755695457e+00, 1.285714285714285143e+00, -1.652591138118213177e-01, 1.071428571428571397e+00, 1.586533649582798411e+00
1.599846992509667887e+00, 1.285714285714285143e+00, -1.447851973710262141e-01, 1.071428571428571397e+00, 1.723464124463156111e+00
1.397170438947318960e+00, 1.285714285714285143e+00, -1.181477520362108763e-01, 1.071428571428571397e+00, 1.827739635619072489e+00
1.250689455355667556e+00, 1.285714285714285143e+00, -8.763186441932857562e-02, 1.071428571428571397e+00, 1.904044169930654951e+00
1.151920687958991385e+00, 1.285714285714285143e+00, -5.000141583245971272e-02, 1.071428571428571397e+00, 1.958266880232111484e+00
1.103158693738402807e+00, 1.285714285714285143e+00, 0.000000000000000000e+00, 1.071428571428571397e+00, 2.000000000000000000e+00
1.122873667969980227e+00, 1.285714285714285143e+00, 6.799188626482892406e-02, 1.071428571428571397e+00, 2.041733119767888294e+00
1.202193899062673932e+00, 1.285714285714285143e+00, 1.345712276101695415e-01, 1.071428571428571397e+00, 2.095955830069344827e+00
1.331907386196546916e+00, 1.285714285714285143e+00, 2.022015533963102130e-01, 1.071428571428571397e+00, 2.172260364380927289e+00
1.519599536789631333e+00, 1.285714285714285143e+00, 2.707222513068658909e-01, 1.071428571428571397e+00, 2.276535875536843889e+00
1.774102269153849720e+00, 1.285714285714285143e+00, 3.348293087440643578e-01, 1.071428571428571397e+00, 2.413466350417201589e+00
2.097210031090750881e+00, 1.285714285714285143e+00, 3.859091144406192608e-01, 1.071428571428571397e+00, 2.584161237591246607e+00
2.478670131515274377e+00, 1.285714285714285143e+00, 4.112584735533075797e-01, 1.071428571428571397e+00, 2.783663390284290440e+00
2.893063512191607067e+00, 1.285714285714285143e+00, 3.995302955677537127e-01, 1.071428571428571397e+00, 3.000000000000000000e+00
3.305238306781334234e+00, 1.285714285714285143e+00, 3.545291465546546728e-01, 1.071428571428571397e+00, 3.216336609715709116e+00
3.682361116309677662e+00, 1.285714285714285143e+00, 2.912987004893969889e-01, 1.071428571428571397e+00, 3.415838762408752949e+00
4.002844749552006753e+00, 1.285714285714285143e+00, 2.254351002630921585e-01, 1.071428571428571397e+00, 3.586533649582798411e+00
4.258882202029532493e+00, 1.285714285714285143e+00, 1.677215710471565147e-01, 1.071428571428571397e+00, 3.723464124463156111e+00
4.453520138422002006e+00, 1.285714285714285143e+00, 1.223037427596866816e-01, 1.071428571428571397e+00, 3.827739635619072267e+00
4.595855113953779991e+00, 1.285714285714285143e+00, 8.867346976536255587e-02, 1.071428571428571397e+00, 3.904044169930655173e+00
4.697021818385163527e+00, 1.285714285714285143e+00, 6.486541966054390485e-02, 1.071428571428571397e+00, 3.958266880232111262e+00
4.862980504311400054e+00, 1.285714285714285143e+00, 2.415754254294035300e-02, 1.071428571428571397e+00, 4.000000000000000000e+00
5.851430206570523929e+00, 2.571428571428570287e+00, 2.358302276496755667e-02, 1.142857142857142794e+00, 0.000000000000000000e+00
5.872979398743590096e+00, 2.571428571428570287e+00, 1.162077720910151962e-02, 1.142857142857142794e+00, 4.173311976788848798e-02
5.770489860243567470e+00, 2.571428571428570287e+00, 2.263829904420140010e-02, 1.142857142857142794e+00, 9.595583006934514658e-02
5.625403794744045172e+00, 2.571428571428570287e+00, 2.590433071642033944e-02, 1.142857142857142794e+00, 1.722603643809274832e-01
5.427109346585162974e+00, 2.571428571428570287e+00, 1.854385751971539611e-02, 1.142857142857142794e+00, 2.765358755368439447e-01
5.167462533611342224e+00, 2.571428571428570287e+00, -2.792887238010560887e-03, 1.142857142857142794e+00, 4.134663504172014781e-01
4.844776116741455141e+00, 2.571428571428570287e+00, -3.965971852025287209e-02, 1.142857142857142794e+00, 5.841612375912467181e-01
4.468126983131066154e+00, 2.571428571428570287e+00, -8.707372093102137833e-02, 1.142857142857142794e+00, 7.836633902842906618e-01
4.059079684702586732e+00, 2.571428571428570287e+00, -1.333848961710759062e-01, 1.142857142857142794e+00, 1.000000000000000000e+00
3.648625574250488945e+00, 2.571428571428570287e+00, -1.641209226423425982e-01, 1.142857142857142794e+00, 1.216336609715709338e+00
3.269145374075325350e+00, 2.571428571428570287e+00, -1.715059770170253295e-01, 1.142857142857142794e+00, 1.415838762408753171e+00
2.944543231789571891e+00, 2.571428571428570287e+00, -1.611717960168477792e-01, 1.142857142857142794e+00, 1.586533649582798411e+00
2.684808316516018145e+00, 2.571428571428570287e+00, -1.407007415338745182e-01, 1.142857142857142794e+00, 1.723464124463156111e+00
2.488202894358492401e+00, 2.571428571428570287e+00, -1.142948992016928067e-01, 1.142857142857142794e+00, 1.827739635619072489e+00
2.346182491547393667e+00, 2.571428571428570287e+00, -8.413562982817458791e-02, 1.142857142857142794e+00, 1.904044169930654951e+00
2.251328179918183459e+00, 2.571428571428570287e+00, -4.615478182366229698e-02, 1.142857142857142794e+00, 1.958266880232111484e+00
2.206317387476805614e+00, 2.571428571428570287e+00, 0.000000000000000000e+00, 1.142857142857142794e+00, 2.000000000000000000e+00
2.225263646054273625e+00, 2.571428571428570287e+00, 6.599857677708130532e-02, 1.142857142857142794e+00, 2.041733119767888294e+00
2.302175303260885819e+00, 2.571428571428570287e+00, 1.305951075149497931e-01, 1.142857142857142794e+00, 2.095955830069344827e+00
2.427884790431421358e+00, 2.571428571428570287e+00, 1.963606128842251275e-01, 1.142857142857142794e+00, 2.172260364380927289e+00
2.609805629870272980e+00, 2.571428571428570287e+00, 2.631154024729707719e-01, 1.142857142857142794e+00, 2.276535875536843889e+00
2.856527558127439637e+00, 2.571428571428570287e+00, 3.257007752369110998e-01, 1.142857142857142794e+00, 2.413466350417201589e+00
3.169800970727507217e+00, 2.571428571428570287e+00, 3.757944888071652612e-01, 1.142857142857142794e+00, 2.584161237591246607e+00
3.539702240064698024e+00, 2.571428571428570287e+00, 4.011146184688921257e-01, 1.142857142857142794e+00, 2.783663390284290440e+00
3.941611423809871617e+00, 2.571428571428570287e+00, 3.905223119117948727e-01, 1.142857142857142794e+00, 3.000000000000000000e+00
4.341370600824370207e+00, 2.571428571428570287e+00, 3.469721442242084120e-01, 1.142857142857142794e+00, 3.216336609715709116e+00
4.707054002692382610e+00, 2.571428571428570287e+00, 2.852389473538708975e-01, 1.142857142857142794e+00, 3.415838762408752949e+00
5.017753090650645120e+00, 2.571428571428570287e+00, 2.207991752844262467e-01, 1.142857142857142794e+00, 3.586533649582798411e+00
5.265934071514670300e+00, 2.571428571428570287e+00, 1.642625331102234021e-01, 1.142857142857142794e+00, 3.723464124463156111e+00
5.454574562812467775e+00, 2.571428571428570287e+00, 1.197098336410847702e-01, 1.142857142857142794e+00, 3.827739635619072267e+00
5.592521030718639707e+00, 2.571428571428570287e+00, 8.671948519573072223e-02, 1.142857142857142794e+00, 3.904044169930655173e+00
5.690574204137851311e+00, 2.571428571428570287e+00, 6.338202960931378638e-02, 1.142857142857142794e+00, 3.958266880232111262e+00
