# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Main Wing,0,ORKZVUJNWC,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,9,33
# x,y,z,u,w
2.406250000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
2.360310080848338377e+00, 0.000000000000000000e+00, -5.318885104021611396e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
2.294273674508858107e+00, 0.000000000000000000e+00, -1.278292320726904206e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
2.201305654424919211e+00, 0.000000000000000000e+00, -2.293826838741220425e-02, 1.000000000000000000e+00, 1.722603643809274832e-01
2.074190754384148239e+00, 0.000000000000000000e+00, -3.618299733771686982e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
1.907159631402981503e+00, 0.000000000000000000e+00, -5.249450256417770994e-02, 1.000000000000000000e+00, 4.134663504172014781e-01
1.698777967608570583e+00, 0.000000000000000000e+00, -7.107133940311236020e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
1.455001873493050324e+00, 0.000000000000000000e+00, -9.005459888238354083e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
1.190371656440145642e+00, 0.000000000000000000e+00, -1.065710671777748558e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
9.254508518907930137e-01, 0.000000000000000000e+00, -1.174016211357579165e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
6.809623741542062403e-01, 0.000000000000000000e+00, -1.202139663475648712e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
4.718454096832861433e-01, 0.000000000000000000e+00, -1.145642922468063374e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
3.045297941103046746e-01, 0.000000000000000000e+00, -1.017591974356873985e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
1.780255222765305123e-01, 0.000000000000000000e+00, -8.379203455458657246e-02, 1.000000000000000000e+00, 1.827739635619072489e+00
8.712766600801365169e-02, 0.000000000000000000e+00, -6.202599068680934163e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
2.629235261896646983e-02, 0.000000000000000000e+00, -3.573173044353130517e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
2.629235261896559553e-02, 0.000000000000000000e+00, 3.573173044353075006e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
8.712766600801338801e-02, 0.000000000000000000e+00, 6.202599068680926531e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
1.780255222765294021e-01, 0.000000000000000000e+00, 8.379203455458639205e-02, 1.000000000000000000e+00, 2.172260364380927289e+00
3.045297941103043415e-01, 0.000000000000000000e+00, 1.017591974356873707e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
4.718454096832849221e-01, 0.000000000000000000e+00, 1.145642922468062819e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
6.809623741542052411e-01, 0.000000000000000000e+00, 1.202139663475648435e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
9.254508518907920145e-01, 0.000000000000000000e+00, 1.174016211357579442e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
1.190371656440144754e+00, 0.000000000000000000e+00, 1.065710671777749113e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
1.455001873493048326e+00, 0.000000000000000000e+00, 9.005459888238365185e-02, 1.000000000000000000e+00, 3.216336609715709116e+00
1.698777967608568584e+00, 0.000000000000000000e+00, 7.107133940311252673e-02, 1.000000000000000000e+00, 3.415838762408752949e+00
1.907159631402980615e+00, 0.000000000000000000e+00, 5.249450256417780014e-02, 1.000000000000000000e+00, 3.586533649582798411e+00
2.074190754384146906e+00, 0.000000000000000000e+00, 3.618299733771696003e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
2.201305654424913882e+00, 0.000000000000000000e+00, 2.293826838741298488e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
2.294273674508851446e+00, 0.000000000000000000e+00, 1.278292320727018525e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
2.360310080848334380e+00, 0.000000000000000000e+00, 5.318885104022468349e-03, 1.000000000000000000e+00, 3.958266880232111262e+00
2.406250000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
3.309741540905411394e+00, 3.124999999999999556e+00, 0.000000000000000000e+00, 1.125000000000000000e+00, 0.000000000000000000e+00
3.268267515345841812e+00, 3.124999999999999556e+00, -4.801827709455720565e-03, 1.125000000000000000e+00, 4.173311976788848798e-02
3.208650614511861399e+00, 3.124999999999999556e+00, -1.154027463727287130e-02, 1.125000000000000000e+00, 9.595583006934514658e-02
3.124720165517060444e+00, 3.125000000000000000e+00, -2.070840234287575979e-02, 1.125000000000000000e+00, 1.722603643809274832e-01
3.009962309807983516e+00, 3.125000000000000444e+00, -3.266558984251100722e-02, 1.125000000000000000e+00, 2.765358755368439447e-01
2.859168551532205171e+00, 3.124999999999999556e+00, -4.739142735310695326e-02, 1.125000000000000000e+00, 4.134663504172014781e-01
2.671044005169298519e+00, 3.125000000000000000e+00, -6.416237993860046673e-02, 1.125000000000000000e+00, 5.841612375912467181e-01
2.450965778109698956e+00, 3.125000000000000000e+00, -8.130024616444364582e-02, 1.125000000000000000e+00, 7.836633902842906618e-01
2.212060691018583380e+00, 3.124999999999999556e+00, -9.621112195365577602e-02, 1.125000000000000000e+00, 1.000000000000000000e+00
1.972893264909952649e+00, 3.124999999999999556e+00, -1.059888203034239085e-01, 1.125000000000000000e+00, 1.216336609715709338e+00
1.752171906189394113e+00, 3.124999999999999112e+00, -1.085277729039226674e-01, 1.125000000000000000e+00, 1.415838762408753171e+00
1.563383538913985626e+00, 3.125000000000000000e+00, -1.034273127293073857e-01, 1.125000000000000000e+00, 1.586533649582798411e+00
1.412332944029821347e+00, 3.124999999999999556e+00, -9.186702182553366236e-02, 1.125000000000000000e+00, 1.723464124463156111e+00
1.298126356375457480e+00, 3.124999999999999556e+00, -7.564647580968882068e-02, 1.125000000000000000e+00, 1.827739635619072489e+00
