# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
4

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,IWRVVJHBKE,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,54,53
# x,y,z,u,w
3.953156882118865401e+00, 0.000000000000000000e+00, 5.562230563926055631e-03, 1.000000000000000000e+00, 0.000000000000000000e+00
3.929569832366035520e+00, 0.000000000000000000e+00, -2.531971825354486626e-03, 1.000000000000000000e+00, 2.554625133570029988e-02
3.874694377791605415e+00, 0.000000000000000000e+00, 5.779950143624670161e-03, 1.000000000000000000e+00, 5.259181286785066800e-02
3.805848531046942540e+00, 0.000000000000000000e+00, 1.298406195917176272e-02, 1.000000000000000000e+00, 8.632501420409272042e-02
3.720313115980434571e+00, 0.000000000000000000e+00, 1.762197453134135144e-02, 1.000000000000000000e+00, 1.280672725814530344e-01
3.615360025173995240e+00, 0.000000000000000000e+00, 1.747523317071645460e-02, 1.000000000000000000e+00, 1.792163326996374095e-01
3.488611275069950945e+00, 0.000000000000000000e+00, 8.409949396452001333e-03, 1.000000000000000000e+00, 2.411446358454590044e-01
3.338170878661166796e+00, 0.000000000000000000e+00, -1.059812545695698778e-02, 1.000000000000000000e+00, 3.150439543889463345e-01
3.163005152006443943e+00, 0.000000000000000000e+00, -4.144820742800386926e-02, 1.000000000000000000e+00, 4.017169922373475810e-01
2.962715246643206513e+00, 0.000000000000000000e+00, -8.238923916334939257e-02, 1.000000000000000000e+00, 5.013344070198203495e-01
2.738510132383184636e+00, 0.000000000000000000e+00, -1.317443304199650000e-01, 1.000000000000000000e+00, 6.131999182907829082e-01
2.492588504701574781e+00, 0.000000000000000000e+00, -1.827898011218469787e-01, 1.000000000000000000e+00, 7.355888844164429896e-01
2.229215987971457924e+00, 0.000000000000000000e+00, -2.270189541734264072e-01, 1.000000000000000000e+00, 8.657328470885534699e-01
1.955449199805559868e+00, 0.000000000000000000e+00, -2.578900950478483778e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
1.680385794874145855e+00, 0.000000000000000000e+00, -2.736987872491629670e-01, 1.000000000000000000e+00, 1.134267152911446530e+00
1.413349473702445236e+00, 0.000000000000000000e+00, -2.781394090231173455e-01, 1.000000000000000000e+00, 1.264411115583556677e+00
