xflr5 v6.43

NACA 63A-609
Reynolds =  500000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 25.000       0.373     1.118    -0.168     0.005     1.000    0.0000  -2.2328
 Cpi          Cpv
-----------------
 0.6664   -0.6896
 0.1298   -0.6902
 0.2494   -0.6912
 0.1955   -0.6925
 0.1692   -0.6943
 0.1291   -0.6965
 0.0706   -0.6993
-0.0122   -0.7027
-0.1219   -0.7067
-0.2124   -0.7115
-0.3275   -0.7171
-0.5088   -0.7236
-0.6376   -0.7311
-0.7541   -0.7398
-0.8947   -0.7497
-1.0484   -0.7610
-1.2172   -0.7738
-1.4026   -0.7881
-1.6073   -0.8043
-1.8327   -0.8223
-2.0774   -0.8424
-2.3357   -0.8648
-2.6272   -0.8897
-2.9398   -0.9171
-3.3198   -0.9473
-3.7781   -0.9805
-4.3361   -1.0168
-5.0330   -1.0567
-5.9315   -1.1007
-7.0647   -1.1497
-8.6064   -1.2051
-10.6603   -1.2693
-13.5406   -1.3475
-17.6539   -1.4500
-23.4752   -1.6045
-31.9137   -1.9625
-43.9923   -1.9627
-57.6005   -1.9562
-66.6046   -1.9513
-73.7293   -1.9620
-90.9016   -2.0060
-87.3744   -2.1506
-72.9502   -2.2328
-57.4386   -1.7399
-37.6347   -0.8049
-25.6772   -0.0413
-11.9010    0.6351
-5.5574    0.9001
-2.4654    0.9879
-0.8414    0.9977
 0.0333    0.9706
 0.5104    0.9262
 0.7739    0.8729
 0.9123    0.8168
 0.9776    0.7589
 0.9992    0.7015
 0.9945    0.6445
 0.9740    0.5887
 0.9441    0.5326
 0.9095    0.4805
 0.8734    0.4318
 0.8384    0.3886
 0.8059    0.3506
 0.7765    0.3166
 0.7504    0.2857
 0.7277    0.2578
 0.7086    0.2324
 0.6921    0.2079
 0.6779    0.1825
 0.6557    0.1356
 0.6165    0.0483
 0.5887   -0.0266
 0.5637   -0.0991
 0.5416   -0.1704
 0.5245   -0.2387
 0.5009   -0.3268
 0.4708   -0.4396
 0.4345   -0.5828
 0.4142   -0.7030
 0.2565   -1.0206
 0.6664   -0.6896


Reynolds =  500000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 24.000       0.354     1.108    -0.163     0.006     1.000    0.0000  -2.0891
 Cpi          Cpv
-----------------
 0.6598   -0.6767
 0.1149   -0.6772
 0.2376   -0.6782
 0.1841   -0.6796
 0.1585   -0.6814
 0.1191   -0.6838
 0.0612   -0.6866
-0.0210   -0.6901
-0.1300   -0.6943
-0.2193   -0.6992
-0.3329   -0.7050
-0.5125   -0.7117
-0.6388   -0.7195
-0.7523   -0.7285
-0.8894   -0.7389
-1.0389   -0.7506
-1.2027   -0.7640
-1.3821   -0.7790
-1.5797   -0.7959
-1.7966   -0.8149
-2.0314   -0.8362
-2.2780   -0.8599
-2.5557   -0.8863
-2.8521   -0.9155
-3.2122   -0.9479
-3.6458   -0.9834
-4.1728   -1.0225
-4.8301   -1.0655
-5.6762   -1.1126
-6.7410   -1.1647
-8.1876   -1.2227
-10.1107   -1.2883
-12.8029   -1.3652
-16.6400   -1.4617
-22.0573   -1.6057
-29.8939   -1.8471
-41.0841   -1.8470
-53.6351   -1.8413
-61.8543   -1.8390
-68.3288   -1.8562
-84.1340   -1.9118
-80.7477   -2.0748
-67.2644   -2.0891
-52.7871   -1.5536
-34.3997   -0.6355
-23.2942    0.0910
-10.6555    0.7013
-4.8673    0.9288
-2.0616    0.9955
-0.5991    0.9927
 0.1807    0.9578
 0.6000    0.9087
 0.8262    0.8524
 0.9403    0.7947
 0.9893    0.7358
 0.9998    0.6781
 0.9875    0.6211
 0.9617    0.5656
 0.9282    0.5101
 0.8914    0.4588
 0.8538    0.4111
 0.8181    0.3692
 0.7856    0.3326
 0.7564    0.3000
 0.7309    0.2707
 0.7089    0.2442
 0.6905    0.2202
 0.6749    0.1971
 0.6615    0.1730
 0.6396    0.1272
 0.6000    0.0410
 0.5723   -0.0327
 0.5477   -0.1039
 0.5260   -0.1739
 0.5094   -0.2407
 0.4861   -0.3271
 0.4562   -0.4379
 0.4199   -0.5783
 0.4001   -0.6947
 0.2400   -0.9964
 0.6598   -0.6767


Reynolds =  500000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 23.000       0.334     1.094    -0.156     0.007     1.000    0.0000  -2.0873
 Cpi          Cpv
-----------------
 0.6534   -0.6575
 0.1003   -0.6581
 0.2262   -0.6591
 0.1730   -0.6606
 0.1482   -0.6624
 0.1095   -0.6648
 0.0523   -0.6677
-0.0292   -0.6713
-0.1375   -0.6756
-0.2255   -0.6806
-0.3376   -0.6866
-0.5153   -0.6935
-0.6390   -0.7015
-0.7495   -0.7108
-0.8829   -0.7214
-1.0282   -0.7335
-1.1868   -0.7473
-1.3603   -0.7629
-1.5507   -0.7805
-1.7591   -0.8002
-1.9839   -0.8224
-2.2189   -0.8472
-2.4828   -0.8748
-2.7631   -0.9056
-3.1035   -0.9396
-3.5127   -0.9773
-4.0091   -1.0188
-4.6272   -1.0645
-5.4217   -1.1150
-6.4192   -1.1709
-7.7727   -1.2336
-9.5678   -1.3048
-12.0763   -1.3885
-15.6439   -1.4946
-20.6681   -1.6658
-27.9198   -1.8110
-38.2483   -1.8108
-49.7765   -1.8060
-57.2401   -1.8072
-63.0903   -1.8343
-77.5754   -1.9059
-74.3315   -2.0873
-61.7661   -2.0170
-48.2972   -1.4269
-31.2856   -0.5070
-21.0085    0.1948
-9.4666    0.7535
