xflr5 v6.43

NACA 63A-609
Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 16.000       0.126     1.180    -0.070     0.004     1.000    0.0000  -10.2997
 Cpi          Cpv
-----------------
 0.6130   -0.3360
 0.0113   -0.3367
 0.1583   -0.3380
 0.1084   -0.3399
 0.0899   -0.3424
 0.0571   -0.3456
 0.0056   -0.3495
-0.0697   -0.3543
-0.1704   -0.3600
-0.2480   -0.3668
-0.3475   -0.3749
-0.5090   -0.3844
-0.6127   -0.3956
-0.7003   -0.4088
-0.8068   -0.4242
-0.9203   -0.4420
-1.0418   -0.4626
-1.1717   -0.4865
-1.3110   -0.5140
-1.4597   -0.5456
-1.6148   -0.5818
-1.7700   -0.6223
-1.9399   -0.6624
-2.1122   -0.7411
-2.3207   -0.8778
-2.5680   -1.0492
-2.8636   -1.2449
-3.2268   -1.4644
-3.6887   -1.7153
-4.2559   -2.0049
-5.0181   -2.3574
-6.0084   -2.7926
-7.3705   -3.3590
-9.2712   -4.1457
-11.8842   -5.3451
-15.5764   -7.0995
-20.7027   -8.1555
-26.1343   -8.2795
-29.2030   -8.7208
-31.4633   -9.4890
-38.1529   -10.2997
-35.9313   -9.7519
-29.0608   -7.7391
-21.8226   -5.2481
-13.1686   -2.5290
-7.9539   -0.8244
-2.8378    0.4315
-0.6675    0.8634
 0.2963    0.9883
 0.7363    0.9933
 0.9255    0.9495
 0.9920    0.8878
 0.9970    0.8200
 0.9707    0.7537
 0.9294    0.6892
 0.8814    0.6290
 0.8315    0.5723
 0.7823    0.5196
 0.7343    0.4688
 0.6910    0.4246
 0.6522    0.3856
 0.6200    0.3539
 0.5938    0.3285
 0.5728    0.3078
 0.5563    0.2907
 0.5440    0.2767
 0.5353    0.2654
 0.5291    0.2549
 0.5247    0.2434
 0.5072    0.2126
 0.4660    0.1463
 0.4413    0.0934
 0.4206    0.0438
 0.4034   -0.0039
 0.3923   -0.0477
 0.3727   -0.1070
 0.3452   -0.1842
 0.3106   -0.2800
 0.2957   -0.3461
 0.1194   -0.5020
 0.6130   -0.3360


Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 15.000       0.083     1.302    -0.048     0.004     1.000    0.0000  -11.9969
 Cpi          Cpv
-----------------
 0.6080   -0.2561
 0.0006   -0.2567
 0.1504   -0.2579
 0.1011   -0.2597
 0.0836   -0.2620
 0.0517   -0.2650
 0.0013   -0.2686
-0.0730   -0.2730
-0.1724   -0.2781
-0.2482   -0.2842
-0.3456   -0.2913
-0.5044   -0.2995
-0.6050   -0.3091
-0.6892   -0.3203
-0.7916   -0.3330
-0.9004   -0.3473
-1.0165   -0.3624
-1.1400   -0.3726
-1.2721   -0.4073
-1.4123   -0.5044
-1.5576   -0.6399
-1.7018   -0.7916
-1.8589   -0.9472
-2.0166   -1.0989
-2.2074   -1.2567
-2.4333   -1.4257
-2.7024   -1.6122
-3.0325   -1.8258
-3.4516   -2.0790
-3.9641   -2.3789
-4.6518   -2.7552
-5.5417   -3.2269
-6.7625   -3.8481
-8.4598   -4.7124
-10.7820   -6.0396
-14.0496   -8.0149
-18.5621   -9.5892
-23.2874   -9.7331
-25.8652   -10.2188
-27.7316   -11.0707
-33.5303   -11.9969
-31.4562   -11.4048
-25.2831   -9.1192
-18.8037   -6.2826
-11.1444   -3.1659
-6.5369   -1.2066
-2.1467    0.2792
-0.3172    0.8072
 0.4766    0.9742
 0.8247    0.9983
 0.9627    0.9632
 0.9995    0.9051
 0.9869    0.8388
 0.9503    0.7726
 0.9028    0.7082
 0.8514    0.6479
 0.7998    0.5913
 0.7500    0.5390
 0.7021    0.4888
 0.6595    0.4454
 0.6219    0.4073
 0.5911    0.3767
 0.5666    0.3524
 0.5474    0.3329
 0.5327    0.3171
 0.5220    0.3045
 0.5150    0.2944
 0.5103    0.2853
 0.5073    0.2753
 0.4906    0.2470
 0.4493    0.1850
 0.4252    0.1358
 0.4052    0.0899
 0.3887    0.0459
