xflr5 v6.47

C:/Users/miksw/Documents/XFLR5/NACA 0012.dat
Reynolds = 9000000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 24.000       0.151     1.410    -0.025     0.005     1.000    0.0000  -14.4691
 Cpi          Cpv
-----------------
 0.5240   -0.3340
 0.4667   -0.3342
 0.4066   -0.3346
 0.3568   -0.3353
 0.3122   -0.3362
 0.2717   -0.3375
 0.2322   -0.3390
 0.1941   -0.3408
 0.1571   -0.3428
 0.1202   -0.3452
 0.0835   -0.3479
 0.0467   -0.3508
 0.0101   -0.3541
-0.0273   -0.3577
-0.0651   -0.3616
-0.1034   -0.3658
-0.1425   -0.3704
-0.1826   -0.3753
-0.2234   -0.3807
-0.2658   -0.3864
-0.3092   -0.3925
-0.3543   -0.3991
-0.4007   -0.4061
-0.4495   -0.4136
-0.5000   -0.4216
-0.5530   -0.4302
-0.6083   -0.4394
-0.6669   -0.4493
-0.7282   -0.4598
-0.7930   -0.4712
-0.8617   -0.4834
-0.9343   -0.4965
-1.0116   -0.5106
-1.0939   -0.5259
-1.1815   -0.5425
-1.2752   -0.5605
-1.3755   -0.5802
-1.4830   -0.6017
-1.5990   -0.6253
-1.7239   -0.6513
-1.8589   -0.6800
-2.0051   -0.7118
-2.1642   -0.7471
-2.3389   -0.7863
-2.5291   -0.8296
-2.7400   -0.8775
-2.9731   -0.9296
-3.2338   -0.9854
-3.5267   -1.0416
-3.8575   -1.0972
-4.2357   -1.3492
-4.6737   -1.6999
-5.1824   -2.0820
-5.7837   -2.4898
-6.5036   -2.9390
-7.3750   -3.4505
-8.4501   -4.0519
-9.7951   -4.7759
-11.5050   -5.6652
-13.7051   -6.7704
-16.5432   -8.1405
-20.1706   -9.8302
-24.4983   -12.3334
-28.8631   -13.7152
-31.2515   -14.4691
-29.5589   -13.1679
-24.4058   -10.2744
-17.5464   -6.8029
-11.4712   -3.9161
-7.1230   -1.9539
-4.2435   -0.7229
-2.3887    0.0231
-1.1907    0.4691
-0.4111    0.7316
 0.1007    0.8807
 0.4388    0.9594
 0.6617    0.9936
 0.8073    0.9994
 0.9000    0.9871
 0.9560    0.9634
 0.9864    0.9324
 0.9988    0.8971
 0.9985    0.8594
 0.9893    0.8207
 0.9738    0.7818
 0.9540    0.7433
 0.9315    0.7057
 0.9072    0.6690
 0.8819    0.6337
 0.8561    0.5997
 0.8304    0.5670
 0.8049    0.5356
 0.7800    0.5055
 0.7557    0.4767
 0.7321    0.4489
 0.7094    0.4223
 0.6874    0.3966
 0.6663    0.3718
 0.6461    0.3478
 0.6266    0.3246
 0.6080    0.3019
 0.5901    0.2798
 0.5730    0.2581
 0.5566    0.2368
 0.5410    0.2159
 0.5259    0.1951
 0.5116    0.1747
 0.4979    0.1543
 0.4850    0.1342
 0.4725    0.1140
 0.4610    0.0940
 0.4500    0.0740
 0.4398    0.0541
 0.4303    0.0340
 0.4216    0.0140
 0.4138   -0.0059
 0.4068   -0.0260
 0.4009   -0.0461
 0.3960   -0.0661
 0.3921   -0.0865
 0.3897   -0.1064
 0.3887   -0.1265
 0.3893   -0.1463
 0.3917   -0.1661
 0.3967   -0.1851
 0.4049   -0.2029
 0.4160   -0.2204
 0.4332   -0.2353
 0.4578   -0.2516
 0.4940   -0.2878
 0.5240   -0.3340


Reynolds = 9000000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 23.500       0.118     1.562    -0.005     0.005     1.000    0.0000  -16.2863
 Cpi          Cpv
-----------------
 0.5203   -0.2755
 0.4629   -0.2757
 0.4026   -0.2762
 0.3528   -0.2769
 0.3082   -0.2780
 0.2677   -0.2794
 0.2283   -0.2811
 0.1904   -0.2832
 0.1535   -0.2855
 0.1168   -0.2882
 0.0805   -0.2912
 0.0438   -0.2946
 0.0075   -0.2983
-0.0295   -0.3024
-0.0669   -0.3069
-0.1048   -0.3117
-0.1436   -0.3170
-0.1832   -0.3227
-0.2235   -0.3289
-0.2654   -0.3355
-0.3082   -0.3427
-0.3528   -0.3504
-0.3985   -0.3587
-0.4467   -0.3675
-0.4964   -0.3771
-0.5487   -0.3874
-0.6031   -0.3984
-0.6608   -0.4103
-0.7210   -0.4231
-0.7848   -0.4369
-0.8524   -0.4518
-0.9237   -0.4679
-0.9996   -0.4854
-1.0805   -0.5043
-1.1665   -0.5248
-1.2584   -0.5471
-1.3568   -0.5713
-1.4622   -0.5976
-1.5758   -0.6260
-1.6981   -0.6569
-1.8302   -0.6902
-1.9731   -0.7258
-2.1287   -0.7633
-2.2993   -0.8016
-2.4851   -0.8344
-2.6909   -0.8815
-2.9181   -1.0521
-3.1722   -1.2823
-3.4574   -1.5377
-3.7793   -1.8067
-4.1472   -2.0919
-4.5728   -2.4014
-5.0668   -2.7440
-5.6504   -3.1327
-6.3485   -3.5828
-7.1929   -4.1125
-8.2337   -4.7496
-9.5346   -5.5281
-11.1867   -6.4946
-13.3098   -7.7049
-16.0445   -9.2139
-19.5332   -11.0853
-23.6835   -13.8288
-27.8476   -15.4290
-30.0807   -16.2863
-28.3705   -14.8735
-23.3437   -11.6837
-16.7105   -7.8290
-10.8630   -4.6058
-6.6926   -2.4038
-3.9400   -1.0134
-2.1729   -0.1644
-1.0360    0.3492
-0.2995    0.6562
 0.1815    0.8355
 0.4970    0.9349
 0.7031    0.9835
 0.8361    0.9996
 0.9191    0.9947
 0.9676    0.9762
 0.9921    0.9491
 0.9999    0.9167
 0.9960    0.8812
 0.9839    0.8440
 0.9661    0.8064
 0.9446    0.7688
 0.9206    0.7319
 0.8952    0.6959
 0.8691    0.6610
 0.8427    0.6274
 0.8164    0.5950
 0.7907    0.5640
 0.7655    0.5342
 0.7411    0.5057
 0.7174    0.4783
 0.6947    0.4520
 0.6728    0.4267
 0.6518    0.4023
 0.6317    0.3787
 0.6125    0.3559
 0.5940    0.3337
 0.5764    0.3122
 0.5595    0.2911
 0.5433    0.2703
 0.5279    0.2501
 0.5131    0.2300
 0.4991    0.2103
 0.4857    0.1907
